invoice_id,service_date,vendor,service_type,amount,vat,total,paid_date,notes
INV-2025020,2025-05-19,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-06-02,
INV-2025021,2025-05-26,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-06-09,
INV-2025022,2025-06-02,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-06-16,
INV-2025023,2025-06-09,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-06-23,
INV-2025024,2025-06-16,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-06-30,
INV-2025025,2025-06-23,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-07-07,
INV-2025026,2025-06-30,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-07-14,
INV-2025027,2025-07-07,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-07-21,
INV-2025028,2025-07-14,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-07-28,
INV-2025029,2025-07-21,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-08-04,
INV-2025030,2025-07-28,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-08-11,
INV-2025031,2025-08-04,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-08-18,
INV-2025032,2025-08-11,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-08-25,
INV-2025033,2025-08-18,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-09-01,
INV-2025034,2025-08-25,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-09-08,
INV-2025035,2025-09-01,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-09-15,
INV-2025036,2025-09-08,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-09-22,
INV-2025037,2025-09-15,ניקיון פרו - רוני כהן,ניקיון עומק,850.0,144.5,994.5,2025-09-29,ניקיון עומק לחגי תשרי
INV-2025038,2025-09-22,ניקיון פרו - רוני כהן,ניקיון עומק,850.0,144.5,994.5,2025-10-06,ניקיון עומק לחגי תשרי
INV-2025039,2025-09-29,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-10-13,
INV-2025040,2025-10-06,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,0.0,0.0,0.0,2025-10-20,דילגנו - חופשת חגים של רוני
INV-2025041,2025-10-13,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,0.0,0.0,0.0,2025-10-27,דילגנו - חופשת חגים של רוני
INV-2025042,2025-10-20,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-11-03,
INV-2025043,2025-10-27,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-11-10,
INV-2025044,2025-11-03,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-11-17,
INV-2025045,2025-11-10,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-11-24,
INV-2025046,2025-11-17,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-12-01,
INV-2025047,2025-11-24,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-12-08,
INV-2025048,2025-12-01,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-12-15,
INV-2025049,2025-12-08,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-12-22,
INV-2025050,2025-12-15,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2025-12-29,
INV-2025051,2025-12-22,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-01-05,
INV-2025052,2025-12-29,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-01-12,
INV-2025053,2026-01-05,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-01-19,
INV-2025054,2026-01-12,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-01-26,
INV-2025055,2026-01-19,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-02-02,
INV-2025056,2026-01-26,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-02-09,
INV-2025057,2026-02-02,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-02-16,
INV-2025058,2026-02-09,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-02-23,
INV-2025059,2026-02-16,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-03-02,
INV-2025060,2026-02-23,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-03-09,
INV-2025061,2026-03-02,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-03-16,
INV-2025062,2026-03-09,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-03-23,
INV-2025063,2026-03-16,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-03-30,
INV-2025064,2026-03-23,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-04-06,
INV-2025065,2026-03-30,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-04-13,
INV-2025066,2026-04-06,ניקיון פרו - רוני כהן,ניקיון עומק,950.0,161.5,1111.5,2026-04-20,ניקיון עומק לפסח
INV-2025067,2026-04-13,ניקיון פרו - רוני כהן,ניקיון עומק,950.0,161.5,1111.5,2026-04-27,ניקיון עומק לפסח
INV-2025068,2026-04-20,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-05-04,
INV-2025069,2026-04-27,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-05-11,
INV-2025070,2026-05-04,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-05-18,
INV-2025071,2026-05-11,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-05-25,
INV-2025072,2026-05-18,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-06-01,
INV-2025073,2026-05-25,ניקיון פרו - רוני כהן,ניקיון שבועי כללי + רצפות + שירותים,450.0,76.5,526.5,2026-06-08,
