date,rank,item,quantity,revenue
2026-01-14,1,קפוצ'ינו,42,756
2026-01-14,2,לאטה,39,780
2026-01-14,3,אמריקנו,28,392
2026-01-14,4,אספרסו,25,300
2026-01-14,5,קרואסון חמאה,22,352
2026-01-14,6,פלט וויט,22,418
2026-01-14,7,טוסט גבינה,18,396
2026-01-14,8,עוגת גזר,14,336
2026-01-14,9,מאפה גבינה,12,240
2026-01-14,10,אייס לאטה,12,288
2026-01-15,1,לאטה,40,800
2026-01-15,2,קפוצ'ינו,39,702
2026-01-15,3,אמריקנו,29,406
2026-01-15,4,אספרסו,26,312
2026-01-15,5,קרואסון חמאה,23,368
2026-01-15,6,פלט וויט,19,361
2026-01-15,7,טוסט גבינה,16,352
2026-01-15,8,עוגת גזר,14,336
2026-01-15,9,מאפה גבינה,12,240
2026-01-15,10,קרואסון שוקולד,11,198
2026-01-16,1,קפוצ'ינו,33,594
2026-01-16,2,קרואסון חמאה,32,512
2026-01-16,3,לאטה,30,600
2026-01-16,4,אספרסו,28,336
2026-01-16,5,אמריקנו,24,336
2026-01-16,6,פלט וויט,21,399
2026-01-16,7,שקשוקה,18,756
2026-01-16,8,טוסט גבינה,15,330
2026-01-16,9,קרואסון שוקולד,14,252
2026-01-16,10,עוגת גזר,12,288
2026-01-18,1,קפוצ'ינו,32,576
2026-01-18,2,לאטה,28,560
2026-01-18,3,אמריקנו,28,392
2026-01-18,4,אספרסו,20,240
2026-01-18,5,קרואסון חמאה,19,304
2026-01-18,6,פלט וויט,18,342
2026-01-18,7,טוסט גבינה,14,308
2026-01-18,8,עוגת גזר,11,264
2026-01-18,9,מאפה גבינה,10,200
2026-01-18,10,אייס לאטה,9,216
2026-01-19,1,קפוצ'ינו,34,612
2026-01-19,2,לאטה,29,580
2026-01-19,3,אמריקנו,29,406
2026-01-19,4,אספרסו,27,324
2026-01-19,5,פלט וויט,22,418
2026-01-19,6,קרואסון חמאה,21,336
2026-01-19,7,טוסט גבינה,17,374
2026-01-19,8,מאפה גבינה,14,280
2026-01-19,9,עוגת גזר,13,312
2026-01-19,10,אייס לאטה,12,288
2026-01-20,1,קפוצ'ינו,43,774
2026-01-20,2,לאטה,38,760
2026-01-20,3,אמריקנו,29,406
2026-01-20,4,אספרסו,23,276
2026-01-20,5,קרואסון חמאה,23,368
2026-01-20,6,טוסט גבינה,20,440
2026-01-20,7,פלט וויט,19,361
2026-01-20,8,מאפה גבינה,14,280
2026-01-20,9,עוגת גזר,12,288
2026-01-20,10,קרואסון שוקולד,11,198
2026-01-21,1,קפוצ'ינו,40,720
2026-01-21,2,לאטה,31,620
2026-01-21,3,אמריקנו,28,392
2026-01-21,4,אספרסו,23,276
2026-01-21,5,קרואסון חמאה,19,304
2026-01-21,6,פלט וויט,19,361
2026-01-21,7,טוסט גבינה,17,374
2026-01-21,8,עוגת גזר,13,312
2026-01-21,9,מאפה גבינה,13,260
2026-01-21,10,אייס לאטה,12,288
2026-01-22,1,קפוצ'ינו,33,594
2026-01-22,2,לאטה,32,640
2026-01-22,3,אמריקנו,32,448
2026-01-22,4,אספרסו,22,264
2026-01-22,5,קרואסון חמאה,22,352
2026-01-22,6,פלט וויט,20,380
2026-01-22,7,טוסט גבינה,18,396
2026-01-22,8,עוגת גזר,14,336
2026-01-22,9,מאפה גבינה,14,280
2026-01-22,10,אייס לאטה,11,264
2026-01-23,1,קפוצ'ינו,36,648
2026-01-23,2,לאטה,33,660
2026-01-23,3,קרואסון חמאה,32,512
2026-01-23,4,אספרסו,28,336
2026-01-23,5,אמריקנו,25,350
2026-01-23,6,טוסט גבינה,20,440
2026-01-23,7,פלט וויט,18,342
2026-01-23,8,שקשוקה,17,714
2026-01-23,9,קרואסון שוקולד,17,306
2026-01-23,10,מאפה גבינה,14,280
2026-01-25,1,קפוצ'ינו,32,576
2026-01-25,2,לאטה,24,480
2026-01-25,3,אמריקנו,23,322
2026-01-25,4,קרואסון חמאה,21,336
2026-01-25,5,אספרסו,19,228
2026-01-25,6,פלט וויט,19,361
2026-01-25,7,טוסט גבינה,16,352
2026-01-25,8,עוגת גזר,12,288
2026-01-25,9,מאפה גבינה,11,220
2026-01-25,10,אייס לאטה,10,240
2026-01-26,1,קפוצ'ינו,37,666
2026-01-26,2,לאטה,29,580
2026-01-26,3,אמריקנו,28,392
2026-01-26,4,אספרסו,23,276
2026-01-26,5,קרואסון חמאה,23,368
2026-01-26,6,פלט וויט,21,399
2026-01-26,7,טוסט גבינה,18,396
2026-01-26,8,עוגת גזר,15,360
2026-01-26,9,מאפה גבינה,13,260
2026-01-26,10,אייס לאטה,11,264
2026-01-27,1,קפוצ'ינו,38,684
2026-01-27,2,אמריקנו,32,448
2026-01-27,3,לאטה,31,620
2026-01-27,4,אספרסו,27,324
2026-01-27,5,קרואסון חמאה,24,384
2026-01-27,6,פלט וויט,20,380
2026-01-27,7,טוסט גבינה,18,396
2026-01-27,8,עוגת גזר,13,312
2026-01-27,9,מאפה גבינה,11,220
2026-01-27,10,אייס לאטה,10,240
2026-01-28,1,קפוצ'ינו,34,612
2026-01-28,2,לאטה,31,620
2026-01-28,3,אמריקנו,28,392
2026-01-28,4,קרואסון חמאה,24,384
2026-01-28,5,אספרסו,22,264
2026-01-28,6,פלט וויט,20,380
2026-01-28,7,טוסט גבינה,19,418
2026-01-28,8,עוגת גזר,15,360
2026-01-28,9,מאפה גבינה,12,240
2026-01-28,10,קרואסון שוקולד,11,198
2026-01-29,1,קפוצ'ינו,35,630
2026-01-29,2,לאטה,30,600
2026-01-29,3,אמריקנו,28,392
2026-01-29,4,אספרסו,23,276
2026-01-29,5,קרואסון חמאה,23,368
2026-01-29,6,פלט וויט,20,380
2026-01-29,7,טוסט גבינה,19,418
2026-01-29,8,עוגת גזר,13,312
2026-01-29,9,מאפה גבינה,13,260
2026-01-29,10,אייס לאטה,12,288
2026-01-30,1,קפוצ'ינו,36,648
2026-01-30,2,אמריקנו,31,434
2026-01-30,3,קרואסון חמאה,30,480
2026-01-30,4,לאטה,29,580
2026-01-30,5,פלט וויט,22,418
2026-01-30,6,אספרסו,21,252
2026-01-30,7,קרואסון שוקולד,17,306
2026-01-30,8,שקשוקה,16,672
2026-01-30,9,טוסט גבינה,15,330
2026-01-30,10,עוגת גזר,15,360
