timestamp,device_id,duration,data_used
2026-01-09 11:22,Guest-026,71min,56MB
2026-01-09 11:29,Guest-013,87min,64MB
2026-01-09 11:35,Guest-053,25min,15MB
2026-01-09 13:39,Guest-022,50min,117MB
2026-01-09 14:26,Guest-035,66min,209MB
2026-01-09 14:54,Guest-041,19min,29MB
2026-01-09 16:39,Galaxy-Yossi,52min,313MB
2026-01-09 18:18,Guest-014,84min,35MB
2026-01-09 18:46,Guest-012,14min,190MB
2026-01-09 19:09,Guest-015,90min,131MB
2026-01-11 08:02,Guest-003,56min,110MB
2026-01-11 08:41,Guest-041,68min,195MB
2026-01-11 08:42,Guest-058,17min,199MB
2026-01-11 09:03,Guest-050,76min,161MB
2026-01-11 09:31,Guest-064,14min,197MB
2026-01-11 09:44,iPhone-Arnon,308min,1071MB
2026-01-11 09:54,Guest-002,69min,125MB
2026-01-11 09:58,MBP-Arnon,306min,1652MB
2026-01-11 10:03,Guest-042,47min,76MB
2026-01-11 10:24,Guest-065,75min,169MB
2026-01-11 10:28,Guest-052,15min,122MB
2026-01-11 13:03,Guest-059,51min,216MB
2026-01-11 13:04,Pixel-Maayan,76min,63MB
2026-01-11 13:39,iPad-Avi,119min,223MB
2026-01-11 13:41,Guest-062,89min,178MB
2026-01-11 13:44,Guest-029,71min,138MB
2026-01-11 14:15,Guest-013,89min,191MB
2026-01-11 15:28,Guest-074,16min,132MB
2026-01-11 15:45,Guest-077,89min,98MB
2026-01-11 15:49,Guest-029,47min,148MB
2026-01-11 16:30,iPhone-Dana,113min,106MB
2026-01-11 18:05,Guest-072,5min,216MB
2026-01-11 18:36,Guest-002,78min,190MB
2026-01-11 18:42,Guest-066,31min,172MB
2026-01-11 19:56,Guest-078,86min,82MB
2026-01-12 07:12,Guest-019,90min,19MB
2026-01-12 07:26,Guest-037,53min,104MB
2026-01-12 07:28,Guest-070,50min,213MB
2026-01-12 07:48,Guest-019,42min,57MB
2026-01-12 08:38,Guest-017,54min,173MB
2026-01-12 09:16,Guest-035,41min,179MB
2026-01-12 09:32,Guest-045,88min,50MB
2026-01-12 09:59,MBP-Shira,44min,101MB
2026-01-12 10:02,MBP-Arnon,459min,1017MB
2026-01-12 10:18,Guest-026,84min,187MB
2026-01-12 10:21,Guest-078,40min,106MB
2026-01-12 10:51,iPhone-Arnon,370min,2097MB
2026-01-12 13:13,Guest-071,75min,166MB
2026-01-12 13:22,Guest-070,19min,199MB
2026-01-12 13:26,Guest-078,69min,103MB
2026-01-12 14:50,Guest-072,35min,135MB
2026-01-12 15:26,Guest-038,22min,40MB
2026-01-12 15:42,Guest-072,79min,151MB
2026-01-12 16:07,iPhone-Gili,106min,341MB
2026-01-12 18:06,Galaxy-Yossi,111min,249MB
2026-01-12 18:24,Guest-002,18min,11MB
2026-01-12 18:44,Guest-078,43min,220MB
2026-01-12 18:45,iPhone-Dana,120min,137MB
2026-01-12 18:47,Guest-041,11min,8MB
2026-01-12 18:51,Guest-054,41min,113MB
2026-01-12 18:59,Guest-001,11min,146MB
2026-01-12 19:31,Guest-059,69min,39MB
2026-01-12 19:47,Guest-014,76min,62MB
2026-01-12 19:49,Guest-056,66min,135MB
2026-01-12 19:52,Guest-023,27min,192MB
2026-01-13 07:38,Guest-020,24min,87MB
2026-01-13 08:28,Guest-002,90min,93MB
2026-01-13 08:35,Pixel-Maayan,74min,182MB
2026-01-13 09:11,iPad-Avi,107min,78MB
2026-01-13 10:47,MBP-Arnon,430min,1919MB
2026-01-13 11:20,Guest-006,88min,54MB
2026-01-13 11:29,Guest-075,5min,89MB
2026-01-13 11:45,iPhone-Arnon,337min,2097MB
2026-01-13 11:52,Guest-070,8min,137MB
2026-01-13 13:18,Guest-028,47min,97MB
2026-01-13 14:14,Guest-069,16min,94MB
2026-01-13 14:16,Guest-042,19min,103MB
2026-01-13 18:31,Guest-048,70min,119MB
2026-01-13 18:33,Guest-041,33min,52MB
2026-01-13 18:34,Guest-009,25min,111MB
2026-01-13 18:50,Guest-074,50min,23MB
2026-01-13 19:02,Guest-031,84min,67MB
2026-01-13 19:31,Guest-007,89min,82MB
2026-01-13 19:35,Guest-028,72min,126MB
2026-01-14 07:41,Guest-073,75min,123MB
2026-01-14 08:14,Guest-072,78min,215MB
2026-01-14 08:34,iPhone-Arnon,322min,2383MB
2026-01-14 08:40,MBP-Arnon,333min,2172MB
2026-01-14 08:47,Guest-071,44min,58MB
2026-01-14 08:50,iPhone-Gili,26min,131MB
2026-01-14 09:14,Guest-066,25min,52MB
2026-01-14 10:54,Guest-045,57min,170MB
2026-01-14 11:00,Guest-019,87min,100MB
2026-01-14 11:11,Guest-079,29min,34MB
2026-01-14 13:18,Guest-010,69min,32MB
2026-01-14 14:24,Guest-052,45min,9MB
2026-01-14 14:40,Guest-034,54min,120MB
2026-01-14 14:40,Guest-018,74min,80MB
2026-01-14 14:41,iPad-Avi,109min,262MB
2026-01-14 14:42,Guest-057,55min,215MB
2026-01-14 15:14,Guest-004,25min,141MB
2026-01-14 16:29,MBP-Ilan,39min,52MB
2026-01-14 18:02,Guest-071,23min,36MB
2026-01-14 18:46,Guest-016,5min,169MB
2026-01-14 19:34,Guest-001,81min,105MB
2026-01-14 19:48,Guest-039,16min,77MB
2026-01-14 19:54,Guest-009,10min,184MB
2026-01-15 07:06,Guest-006,88min,87MB
2026-01-15 07:33,Guest-030,90min,57MB
2026-01-15 08:08,Guest-078,40min,216MB
2026-01-15 08:32,Guest-066,55min,98MB
2026-01-15 08:40,Guest-010,7min,134MB
2026-01-15 09:11,Guest-066,62min,45MB
2026-01-15 09:24,Guest-073,53min,172MB
2026-01-15 10:10,Guest-002,83min,180MB
2026-01-15 10:16,iPhone-Arnon,451min,937MB
2026-01-15 10:16,Guest-076,9min,146MB
2026-01-15 10:23,Guest-063,13min,72MB
2026-01-15 10:45,Pixel-Maayan,51min,153MB
2026-01-15 10:56,Guest-069,38min,192MB
2026-01-15 10:57,Galaxy-Yossi,99min,75MB
2026-01-15 11:08,MBP-Arnon,364min,1531MB
2026-01-15 11:32,Guest-076,22min,123MB
2026-01-15 11:34,Guest-067,38min,153MB
2026-01-15 13:39,MBP-Shira,77min,208MB
2026-01-15 13:46,Guest-036,22min,178MB
2026-01-15 13:48,Guest-062,10min,61MB
2026-01-15 13:57,Guest-020,55min,62MB
2026-01-15 14:27,MBP-Ilan,66min,201MB
2026-01-15 14:56,Guest-047,65min,121MB
2026-01-15 15:11,Guest-040,75min,32MB
2026-01-15 15:22,Guest-043,64min,119MB
2026-01-15 18:49,Guest-070,65min,172MB
2026-01-15 19:04,Guest-047,88min,218MB
2026-01-15 19:47,Guest-073,89min,42MB
2026-01-15 19:49,Guest-004,79min,108MB
2026-01-16 07:03,Guest-066,78min,42MB
2026-01-16 07:08,Guest-053,36min,16MB
2026-01-16 07:55,Guest-014,30min,138MB
2026-01-16 08:38,Guest-037,32min,119MB
2026-01-16 09:32,MBP-Shira,49min,79MB
2026-01-16 09:38,iPhone-Dana,40min,225MB
2026-01-16 09:46,Pixel-Maayan,73min,209MB
2026-01-16 10:08,Guest-009,53min,103MB
2026-01-16 10:56,MBP-Arnon,404min,1787MB
2026-01-16 11:25,iPhone-Arnon,337min,1857MB
2026-01-16 11:25,Guest-022,28min,137MB
2026-01-16 13:37,Guest-022,63min,157MB
2026-01-16 14:06,Guest-065,24min,160MB
2026-01-16 15:02,Guest-023,83min,158MB
2026-01-16 15:53,Guest-061,26min,61MB
2026-01-16 16:13,iPhone-Gili,81min,285MB
2026-01-16 18:30,Guest-069,20min,28MB
2026-01-16 19:16,Guest-024,89min,135MB
2026-01-16 19:37,Guest-053,23min,208MB
2026-01-16 19:40,Guest-074,25min,39MB
2026-01-16 19:56,Guest-077,86min,9MB
2026-01-18 08:27,iPhone-Arnon,453min,2129MB
2026-01-18 08:56,Guest-030,41min,158MB
2026-01-18 09:49,Guest-055,37min,127MB
2026-01-18 10:33,MBP-Arnon,291min,2228MB
2026-01-18 14:00,Guest-070,37min,53MB
2026-01-18 14:07,Guest-045,22min,173MB
2026-01-18 14:09,Guest-041,51min,32MB
2026-01-18 14:35,Guest-036,31min,110MB
2026-01-18 14:39,Guest-069,77min,98MB
2026-01-18 14:44,Guest-001,88min,57MB
2026-01-18 15:13,Guest-030,25min,30MB
2026-01-18 15:35,Guest-072,27min,99MB
2026-01-18 15:36,Guest-072,37min,83MB
2026-01-18 19:33,Guest-001,71min,35MB
2026-01-18 19:54,Guest-055,37min,71MB
2026-01-19 07:31,Guest-077,27min,168MB
2026-01-19 07:59,Guest-057,30min,173MB
2026-01-19 08:40,MBP-Arnon,321min,1596MB
2026-01-19 08:46,Guest-009,75min,77MB
2026-01-19 08:50,Guest-034,53min,167MB
2026-01-19 08:59,iPhone-Ruti,38min,281MB
2026-01-19 09:15,Guest-079,9min,97MB
2026-01-19 09:49,Guest-001,16min,75MB
2026-01-19 10:05,MBP-Shira,48min,229MB
2026-01-19 10:29,Guest-036,82min,54MB
2026-01-19 10:29,Guest-062,48min,203MB
2026-01-19 10:44,iPhone-Arnon,420min,2057MB
2026-01-19 10:47,Guest-076,71min,8MB
2026-01-19 11:36,Guest-074,61min,101MB
2026-01-19 11:50,Guest-067,29min,13MB
2026-01-19 11:50,Guest-066,73min,213MB
2026-01-19 11:51,Guest-065,48min,34MB
2026-01-19 13:25,Guest-052,90min,106MB
2026-01-19 18:04,Guest-053,18min,148MB
2026-01-19 18:14,Guest-077,71min,183MB
2026-01-19 19:07,Guest-059,8min,128MB
2026-01-19 19:11,Guest-052,5min,71MB
2026-01-19 19:52,Guest-072,49min,93MB
2026-01-20 07:39,Guest-070,66min,100MB
2026-01-20 08:42,Guest-014,15min,178MB
2026-01-20 09:22,MBP-Arnon,360min,1644MB
2026-01-20 09:51,Guest-074,11min,139MB
2026-01-20 10:06,Guest-002,53min,153MB
2026-01-20 10:48,Guest-055,58min,184MB
2026-01-20 10:57,iPhone-Dana,65min,151MB
2026-01-20 11:12,Guest-031,31min,63MB
2026-01-20 11:30,Guest-071,35min,73MB
2026-01-20 13:11,Guest-042,83min,71MB
2026-01-20 13:28,Guest-048,56min,76MB
2026-01-20 13:31,Guest-079,51min,52MB
2026-01-20 14:07,Guest-045,27min,122MB
2026-01-20 15:00,Guest-067,45min,181MB
2026-01-20 15:31,Guest-041,78min,75MB
2026-01-20 15:32,Guest-055,74min,13MB
2026-01-20 16:04,MBP-Shira,115min,215MB
2026-01-20 16:31,Pixel-Maayan,107min,137MB
2026-01-20 18:14,Guest-024,40min,106MB
2026-01-20 18:18,Galaxy-Yossi,53min,167MB
2026-01-20 19:49,Guest-032,50min,44MB
2026-01-20 19:54,Guest-064,5min,200MB
2026-01-21 08:13,Guest-051,25min,20MB
2026-01-21 08:18,Guest-058,53min,162MB
2026-01-21 08:21,Guest-052,15min,46MB
2026-01-21 09:14,iPhone-Arnon,427min,2204MB
2026-01-21 09:51,Guest-060,26min,168MB
2026-01-21 10:27,MBP-Arnon,340min,1937MB
2026-01-21 11:26,Guest-072,49min,10MB
2026-01-21 11:35,Guest-043,51min,97MB
2026-01-21 13:34,iPad-Avi,37min,304MB
2026-01-21 13:36,Guest-016,82min,55MB
2026-01-21 13:49,Guest-046,70min,129MB
2026-01-21 14:36,Guest-044,85min,161MB
2026-01-21 15:28,Guest-033,85min,29MB
2026-01-21 18:18,Guest-074,27min,204MB
2026-01-21 18:30,Galaxy-Yossi,114min,116MB
2026-01-22 07:55,Guest-004,89min,96MB
2026-01-22 08:19,Guest-020,88min,104MB
2026-01-22 08:23,Guest-030,61min,83MB
2026-01-22 08:59,iPhone-Dana,32min,72MB
2026-01-22 09:10,Guest-017,72min,219MB
2026-01-22 09:29,Guest-070,80min,157MB
2026-01-22 10:13,iPad-Avi,115min,80MB
2026-01-22 10:40,Guest-030,41min,118MB
2026-01-22 10:45,iPhone-Arnon,447min,1396MB
2026-01-22 11:00,Guest-053,24min,82MB
2026-01-22 11:34,Guest-069,49min,128MB
2026-01-22 11:49,MBP-Arnon,349min,1711MB
2026-01-22 11:50,Guest-056,81min,64MB
2026-01-22 13:06,iPhone-Gili,87min,82MB
2026-01-22 14:05,Guest-050,33min,72MB
2026-01-22 14:10,Guest-072,55min,68MB
2026-01-22 14:26,Galaxy-Yossi,86min,270MB
2026-01-22 14:40,Guest-073,72min,168MB
2026-01-22 15:49,Guest-063,43min,7MB
2026-01-22 15:59,Guest-042,64min,143MB
2026-01-22 18:18,Guest-001,22min,93MB
2026-01-22 18:26,Guest-001,52min,53MB
2026-01-22 18:44,Guest-035,61min,39MB
2026-01-22 18:46,MBP-Shira,22min,104MB
2026-01-22 18:59,Guest-061,6min,181MB
2026-01-23 07:25,Guest-019,39min,203MB
2026-01-23 08:18,iPad-Avi,43min,109MB
2026-01-23 09:51,iPhone-Arnon,412min,2365MB
2026-01-23 10:00,Guest-002,16min,43MB
2026-01-23 10:19,Guest-064,48min,112MB
2026-01-23 10:49,Guest-005,63min,193MB
2026-01-23 11:28,Guest-037,21min,188MB
2026-01-23 11:40,Guest-050,46min,45MB
2026-01-23 13:17,iPhone-Dana,99min,271MB
2026-01-23 13:48,Guest-005,15min,220MB
2026-01-23 13:50,Guest-064,64min,183MB
2026-01-23 14:47,Guest-032,61min,68MB
2026-01-23 14:49,Guest-033,6min,36MB
2026-01-23 16:26,MBP-Shira,88min,177MB
2026-01-23 18:06,Guest-007,7min,52MB
2026-01-23 18:12,Guest-010,65min,51MB
2026-01-23 18:16,Guest-006,71min,36MB
2026-01-23 18:30,Guest-013,90min,58MB
2026-01-25 08:14,Guest-069,21min,129MB
2026-01-25 08:44,iPad-Avi,94min,283MB
2026-01-25 09:31,Guest-046,37min,15MB
2026-01-25 09:40,MBP-Arnon,308min,1283MB
2026-01-25 09:43,Pixel-Maayan,83min,86MB
2026-01-25 10:24,Guest-057,7min,181MB
2026-01-25 10:34,Guest-063,77min,52MB
2026-01-25 10:56,iPhone-Arnon,330min,1538MB
2026-01-25 13:44,Guest-008,87min,44MB
2026-01-25 13:49,Guest-070,63min,5MB
2026-01-25 13:55,Guest-045,64min,75MB
2026-01-25 15:16,Guest-020,42min,214MB
2026-01-25 18:07,Galaxy-Yossi,55min,339MB
2026-01-25 18:22,Guest-041,87min,198MB
2026-01-25 18:33,Guest-077,25min,22MB
2026-01-25 18:44,Guest-057,42min,143MB
2026-01-26 07:53,Guest-013,78min,169MB
2026-01-26 07:55,Guest-009,21min,50MB
2026-01-26 08:06,Guest-039,32min,137MB
2026-01-26 08:11,Guest-055,26min,207MB
2026-01-26 08:40,Guest-063,64min,210MB
2026-01-26 08:41,Guest-078,6min,58MB
2026-01-26 10:12,Guest-005,18min,129MB
2026-01-26 10:12,Guest-013,73min,103MB
2026-01-26 10:20,MBP-Arnon,438min,1289MB
2026-01-26 11:14,Guest-076,11min,98MB
2026-01-26 11:56,iPhone-Arnon,467min,1179MB
2026-01-26 13:33,Guest-053,19min,29MB
2026-01-26 13:39,Guest-054,12min,215MB
2026-01-26 13:54,Guest-046,75min,88MB
2026-01-26 13:56,Guest-008,76min,195MB
2026-01-26 14:42,Guest-071,69min,91MB
2026-01-26 15:44,Guest-050,72min,164MB
2026-01-26 18:04,Guest-035,10min,192MB
2026-01-26 18:36,Guest-025,89min,68MB
2026-01-26 18:47,Guest-023,76min,111MB
2026-01-26 18:59,Guest-021,81min,118MB
2026-01-26 19:29,Guest-014,50min,177MB
2026-01-27 08:30,Guest-028,46min,207MB
2026-01-27 08:36,Guest-039,78min,107MB
2026-01-27 09:05,Guest-051,21min,91MB
2026-01-27 09:23,Guest-046,22min,72MB
2026-01-27 09:29,Guest-074,17min,14MB
2026-01-27 09:35,MBP-Arnon,376min,2368MB
2026-01-27 10:49,Guest-029,45min,10MB
2026-01-27 10:50,Guest-012,60min,79MB
2026-01-27 10:51,Guest-075,34min,70MB
2026-01-27 10:59,Guest-016,88min,159MB
2026-01-27 11:38,iPhone-Arnon,465min,1462MB
2026-01-27 13:00,Galaxy-Yossi,77min,243MB
2026-01-27 13:09,Guest-006,74min,149MB
2026-01-27 13:59,Guest-043,60min,111MB
2026-01-27 14:03,Guest-074,15min,204MB
2026-01-27 14:33,Guest-002,11min,83MB
2026-01-27 15:32,Guest-051,81min,152MB
2026-01-27 15:58,Guest-023,78min,214MB
2026-01-27 18:03,Guest-042,33min,44MB
2026-01-27 18:36,Guest-036,70min,147MB
2026-01-27 19:02,Guest-013,87min,81MB
2026-01-27 19:25,Guest-061,11min,145MB
2026-01-28 07:03,Guest-068,37min,48MB
2026-01-28 07:22,Guest-077,44min,48MB
2026-01-28 07:22,Guest-021,49min,180MB
2026-01-28 07:42,Guest-060,13min,104MB
2026-01-28 07:51,Guest-037,48min,182MB
2026-01-28 07:57,Guest-019,53min,154MB
2026-01-28 07:59,Guest-072,10min,68MB
2026-01-28 08:03,Guest-020,19min,194MB
2026-01-28 09:12,MBP-Arnon,403min,1945MB
2026-01-28 09:29,Guest-012,30min,133MB
2026-01-28 10:03,Guest-037,84min,74MB
2026-01-28 10:13,Guest-043,73min,59MB
2026-01-28 10:20,iPad-Avi,119min,260MB
2026-01-28 10:23,Guest-006,30min,180MB
2026-01-28 10:45,Guest-050,53min,135MB
2026-01-28 11:01,Guest-015,62min,125MB
2026-01-28 11:17,Guest-046,35min,133MB
2026-01-28 11:25,Guest-068,47min,130MB
2026-01-28 11:49,iPhone-Arnon,408min,1689MB
2026-01-28 13:18,Guest-035,18min,9MB
2026-01-28 13:22,Pixel-Maayan,74min,227MB
2026-01-28 13:34,Guest-013,67min,157MB
2026-01-28 14:15,MBP-Shira,114min,308MB
2026-01-28 15:28,Guest-079,84min,42MB
2026-01-28 18:30,Guest-070,38min,145MB
2026-01-28 19:52,Guest-032,23min,218MB
2026-01-29 07:14,Guest-053,39min,110MB
2026-01-29 07:26,Guest-019,45min,110MB
2026-01-29 07:28,Guest-068,71min,32MB
2026-01-29 07:34,Guest-059,36min,137MB
2026-01-29 07:44,Guest-030,50min,25MB
2026-01-29 08:53,Guest-069,28min,86MB
2026-01-29 09:02,Guest-018,29min,62MB
2026-01-29 09:09,Guest-068,60min,202MB
2026-01-29 09:30,Guest-062,69min,159MB
2026-01-29 09:30,Guest-048,54min,130MB
2026-01-29 09:35,Guest-073,45min,22MB
2026-01-29 10:05,iPhone-Ruti,70min,110MB
2026-01-29 10:11,Guest-020,18min,38MB
2026-01-29 10:35,iPhone-Arnon,379min,860MB
2026-01-29 10:37,Guest-017,88min,40MB
2026-01-29 10:44,Guest-070,22min,84MB
2026-01-29 10:49,Guest-059,59min,108MB
2026-01-29 10:59,Guest-026,13min,50MB
2026-01-29 15:17,Guest-039,86min,194MB
2026-01-29 19:14,Guest-073,34min,157MB
2026-01-29 19:20,Guest-057,67min,181MB
2026-01-29 19:20,Guest-006,53min,189MB
2026-01-29 19:34,Guest-040,47min,119MB
2026-01-29 19:34,Guest-051,78min,157MB
2026-01-29 19:38,Guest-004,83min,73MB
2026-01-30 08:28,MBP-Arnon,328min,1396MB
2026-01-30 08:33,iPhone-Arnon,422min,1593MB
2026-01-30 08:45,Guest-021,16min,34MB
2026-01-30 09:19,Guest-019,11min,112MB
2026-01-30 09:39,Guest-016,30min,5MB
2026-01-30 10:29,iPhone-Ruti,119min,186MB
2026-01-30 10:44,Galaxy-Yossi,98min,67MB
2026-01-30 13:45,Guest-058,15min,139MB
2026-01-30 14:10,Guest-071,10min,201MB
2026-01-30 15:11,Guest-040,41min,165MB
2026-01-30 15:20,Guest-026,16min,69MB
2026-01-30 15:57,Guest-023,80min,187MB
2026-01-30 18:05,iPad-Avi,102min,271MB
2026-01-30 18:08,MBP-Ilan,94min,319MB
2026-01-30 18:24,Guest-050,83min,45MB
2026-01-30 19:10,Guest-043,89min,43MB
