date,day,hour,customers,scheduled_staff,staff_count,ratio_cust_per_staff,customer_wait_avg_sec
2026-03-20,שישי,08:00,50,3,2,25.0,152
2026-03-20,שישי,09:00,52,3,2,26.0,161
2026-03-20,שישי,10:00,15,2,2,7.5,55
2026-03-20,שישי,11:00,16,2,2,8.0,69
2026-03-20,שישי,12:00,40,2,2,20.0,129
2026-03-20,שישי,13:00,32,3,3,10.7,54
2026-03-20,שישי,14:00,44,3,3,14.7,79
2026-03-20,שישי,15:00,16,2,1,16.0,119
2026-03-20,שישי,16:00,22,2,2,11.0,71
2026-03-20,שישי,17:00,10,2,2,5.0,43
2026-03-20,שישי,18:00,33,2,2,16.5,108
2026-03-20,שישי,19:00,31,3,3,10.3,70
2026-03-20,שישי,20:00,20,2,2,10.0,60
2026-03-22,ראשון,07:00,9,2,2,4.5,52
2026-03-22,ראשון,08:00,39,3,3,13.0,69
2026-03-22,ראשון,09:00,37,3,2,18.5,119
2026-03-22,ראשון,10:00,27,2,2,13.5,77
2026-03-22,ראשון,11:00,21,2,2,10.5,74
2026-03-22,ראשון,12:00,31,2,2,15.5,83
2026-03-22,ראשון,13:00,38,3,2,19.0,125
2026-03-22,ראשון,14:00,40,3,3,13.3,99
2026-03-22,ראשון,15:00,13,2,2,6.5,48
2026-03-22,ראשון,16:00,12,2,2,6.0,52
2026-03-22,ראשון,17:00,12,2,2,6.0,47
2026-03-22,ראשון,18:00,27,2,1,27.0,163
2026-03-22,ראשון,19:00,25,3,3,8.3,73
2026-03-22,ראשון,20:00,24,2,2,12.0,57
2026-04-01,רביעי,07:00,14,2,2,7.0,48
2026-04-01,רביעי,08:00,49,3,2,24.5,170
2026-04-01,רביעי,09:00,39,3,2,19.5,114
2026-04-01,רביעי,10:00,22,2,2,11.0,71
2026-04-01,רביעי,11:00,19,2,2,9.5,78
2026-04-01,רביעי,12:00,35,2,2,17.5,115
2026-04-01,רביעי,13:00,39,3,3,13.0,100
2026-04-01,רביעי,14:00,45,3,2,22.5,121
2026-04-01,רביעי,15:00,21,2,2,10.5,76
2026-04-01,רביעי,16:00,22,2,2,11.0,77
2026-04-01,רביעי,17:00,20,2,2,10.0,60
2026-04-01,רביעי,18:00,26,2,2,13.0,87
2026-04-01,רביעי,19:00,20,3,3,6.7,62
2026-04-01,רביעי,20:00,30,2,2,15.0,101
2026-04-02,חמישי,07:00,16,2,2,8.0,67
2026-04-02,חמישי,08:00,54,3,2,27.0,162
2026-04-02,חמישי,09:00,46,3,2,23.0,159
2026-04-02,חמישי,10:00,25,2,2,12.5,81
2026-04-02,חמישי,11:00,27,2,1,27.0,163
2026-04-02,חמישי,12:00,35,2,2,17.5,127
2026-04-02,חמישי,13:00,35,3,3,11.7,92
2026-04-02,חמישי,14:00,44,3,2,22.0,147
2026-04-02,חמישי,15:00,11,2,2,5.5,23
2026-04-02,חמישי,16:00,11,2,2,5.5,40
2026-04-02,חמישי,17:00,14,2,2,7.0,60
2026-04-02,חמישי,18:00,33,2,1,33.0,211
2026-04-02,חמישי,19:00,28,3,2,14.0,76
2026-04-02,חמישי,20:00,18,2,2,9.0,49
2026-04-03,שישי,07:00,11,2,2,5.5,39
2026-04-03,שישי,08:00,52,3,3,17.3,113
2026-04-03,שישי,09:00,55,3,2,27.5,177
2026-04-03,שישי,10:00,21,2,2,10.5,60
2026-04-03,שישי,11:00,22,2,2,11.0,64
2026-04-03,שישי,12:00,34,2,2,17.0,91
2026-04-03,שישי,13:00,31,3,3,10.3,69
2026-04-03,שישי,14:00,38,3,2,19.0,130
2026-04-03,שישי,15:00,18,2,2,9.0,63
2026-04-03,שישי,16:00,19,2,2,9.5,64
2026-04-03,שישי,17:00,17,2,2,8.5,55
2026-04-03,שישי,18:00,37,2,2,18.5,116
2026-04-03,שישי,19:00,21,3,3,7.0,50
2026-04-03,שישי,20:00,22,2,2,11.0,59
2026-04-05,ראשון,07:00,17,2,2,8.5,76
2026-04-05,ראשון,08:00,52,3,3,17.3,99
2026-04-05,ראשון,09:00,52,3,2,26.0,152
2026-04-05,ראשון,10:00,20,2,2,10.0,67
2026-04-05,ראשון,11:00,15,2,2,7.5,54
2026-04-05,ראשון,12:00,45,2,2,22.5,151
2026-04-05,ראשון,13:00,41,3,3,13.7,77
2026-04-05,ראשון,14:00,30,3,3,10.0,59
2026-04-05,ראשון,15:00,14,2,2,7.0,45
2026-04-05,ראשון,16:00,12,2,2,6.0,52
2026-04-05,ראשון,17:00,18,2,2,9.0,56
2026-04-05,ראשון,18:00,35,2,2,17.5,92
2026-04-05,ראשון,19:00,32,3,3,10.7,55
2026-04-05,ראשון,20:00,38,2,2,19.0,101
2026-04-06,שני,07:00,15,2,2,7.5,35
2026-04-06,שני,08:00,49,3,3,16.3,97
2026-04-06,שני,09:00,41,3,3,13.7,89
2026-04-06,שני,10:00,28,2,2,14.0,79
2026-04-06,שני,11:00,24,2,2,12.0,70
2026-04-06,שני,12:00,29,2,2,14.5,110
2026-04-06,שני,13:00,45,3,3,15.0,93
2026-04-06,שני,14:00,37,3,3,12.3,90
2026-04-06,שני,15:00,20,2,2,10.0,71
2026-04-06,שני,16:00,10,2,2,5.0,23
2026-04-06,שני,17:00,21,2,2,10.5,68
2026-04-06,שני,18:00,25,2,2,12.5,91
2026-04-06,שני,19:00,22,3,3,7.3,54
2026-04-06,שני,20:00,30,2,2,15.0,80
2026-04-10,שישי,07:00,14,2,2,7.0,50
2026-04-10,שישי,08:00,49,3,3,16.3,82
2026-04-10,שישי,09:00,37,3,3,12.3,80
2026-04-10,שישי,10:00,28,2,2,14.0,82
2026-04-10,שישי,11:00,21,2,2,10.5,68
2026-04-10,שישי,12:00,37,2,2,18.5,132
2026-04-10,שישי,13:00,43,3,3,14.3,73
2026-04-10,שישי,14:00,29,3,2,14.5,101
2026-04-10,שישי,15:00,10,2,2,5.0,43
2026-04-10,שישי,16:00,17,2,2,8.5,48
2026-04-10,שישי,17:00,21,2,2,10.5,67
2026-04-10,שישי,18:00,23,2,2,11.5,59
2026-04-10,שישי,19:00,38,3,2,19.0,109
2026-04-10,שישי,20:00,19,2,2,9.5,56
2026-04-13,שני,07:00,14,2,2,7.0,27
2026-04-13,שני,08:00,41,3,3,13.7,81
2026-04-13,שני,09:00,51,3,2,25.5,159
2026-04-13,שני,10:00,28,2,2,14.0,77
2026-04-13,שני,11:00,22,2,2,11.0,57
2026-04-13,שני,12:00,31,2,2,15.5,86
2026-04-13,שני,13:00,40,3,3,13.3,72
2026-04-13,שני,14:00,32,3,2,16.0,120
2026-04-13,שני,15:00,20,2,2,10.0,58
2026-04-13,שני,16:00,20,2,2,10.0,84
2026-04-13,שני,17:00,20,2,2,10.0,51
2026-04-13,שני,18:00,22,2,2,11.0,75
2026-04-13,שני,19:00,29,3,3,9.7,51
2026-04-13,שני,20:00,25,2,1,25.0,170
2026-04-14,שלישי,07:00,17,2,2,8.5,37
2026-04-14,שלישי,08:00,44,3,2,22.0,129
2026-04-14,שלישי,09:00,47,3,1,47.0,282
2026-04-14,שלישי,10:00,22,2,2,11.0,91
2026-04-14,שלישי,11:00,24,2,2,12.0,57
2026-04-14,שלישי,12:00,39,2,2,19.5,138
2026-04-14,שלישי,13:00,41,3,3,13.7,97
2026-04-14,שלישי,14:00,30,3,1,30.0,181
2026-04-14,שלישי,15:00,13,2,1,13.0,88
2026-04-14,שלישי,16:00,18,2,2,9.0,65
2026-04-14,שלישי,17:00,16,2,1,16.0,115
2026-04-14,שלישי,18:00,35,2,2,17.5,109
2026-04-14,שלישי,19:00,20,3,3,6.7,34
2026-04-14,שלישי,20:00,35,2,2,17.5,94
2026-04-16,חמישי,07:00,12,2,2,6.0,36
2026-04-16,חמישי,08:00,36,3,2,18.0,100
2026-04-16,חמישי,09:00,49,3,2,24.5,143
2026-04-16,חמישי,10:00,16,2,2,8.0,33
2026-04-16,חמישי,11:00,17,2,2,8.5,69
2026-04-16,חמישי,12:00,36,2,2,18.0,110
2026-04-16,חמישי,13:00,31,3,2,15.5,105
2026-04-16,חמישי,14:00,36,3,3,12.0,93
2026-04-16,חמישי,15:00,20,2,2,10.0,68
2026-04-16,חמישי,16:00,10,2,2,5.0,38
2026-04-16,חמישי,17:00,12,2,2,6.0,57
2026-04-16,חמישי,18:00,21,2,2,10.5,50
2026-04-16,חמישי,19:00,18,3,3,6.0,45
2026-04-16,חמישי,20:00,22,2,2,11.0,53
2026-04-17,שישי,07:00,16,2,2,8.0,59
2026-04-17,שישי,08:00,42,3,2,21.0,131
2026-04-17,שישי,09:00,43,3,3,14.3,77
2026-04-17,שישי,10:00,23,2,1,23.0,137
2026-04-17,שישי,11:00,27,2,1,27.0,172
2026-04-17,שישי,12:00,30,2,2,15.0,94
2026-04-17,שישי,13:00,38,3,3,12.7,84
2026-04-17,שישי,14:00,34,3,2,17.0,126
2026-04-17,שישי,15:00,13,2,2,6.5,55
2026-04-17,שישי,16:00,22,2,2,11.0,85
2026-04-17,שישי,17:00,22,2,2,11.0,77
2026-04-17,שישי,18:00,18,2,2,9.0,39
2026-04-17,שישי,19:00,28,3,3,9.3,59
2026-04-17,שישי,20:00,21,2,2,10.5,74
2026-04-20,שני,07:00,15,2,2,7.5,39
2026-04-20,שני,08:00,43,3,2,21.5,147
2026-04-20,שני,09:00,48,3,3,16.0,86
2026-04-20,שני,10:00,24,2,2,12.0,82
2026-04-20,שני,11:00,16,2,1,16.0,89
2026-04-20,שני,12:00,35,2,2,17.5,115
2026-04-20,שני,13:00,38,3,3,12.7,65
2026-04-20,שני,14:00,34,3,2,17.0,93
2026-04-20,שני,15:00,12,2,2,6.0,41
2026-04-20,שני,16:00,16,2,2,8.0,46
2026-04-20,שני,17:00,17,2,2,8.5,43
2026-04-20,שני,18:00,20,2,2,10.0,83
2026-04-20,שני,19:00,19,3,3,6.3,31
2026-04-20,שני,20:00,20,2,2,10.0,70
2026-04-24,שישי,07:00,16,2,2,8.0,44
2026-04-24,שישי,08:00,35,3,3,11.7,90
2026-04-24,שישי,09:00,52,3,2,26.0,149
2026-04-24,שישי,10:00,16,2,2,8.0,47
2026-04-24,שישי,11:00,17,2,2,8.5,76
2026-04-24,שישי,12:00,30,2,2,15.0,79
2026-04-24,שישי,13:00,28,3,3,9.3,68
2026-04-24,שישי,14:00,32,3,2,16.0,102
2026-04-24,שישי,15:00,11,2,2,5.5,28
2026-04-24,שישי,16:00,19,2,2,9.5,73
2026-04-24,שישי,17:00,10,2,2,5.0,37
2026-04-24,שישי,18:00,24,2,2,12.0,85
2026-04-24,שישי,19:00,22,3,3,7.3,43
2026-04-24,שישי,20:00,38,2,2,19.0,134
2026-04-30,חמישי,07:00,15,2,2,7.5,38
2026-04-30,חמישי,08:00,48,3,2,24.0,162
2026-04-30,חמישי,09:00,42,3,3,14.0,70
2026-04-30,חמישי,10:00,21,2,2,10.5,82
2026-04-30,חמישי,11:00,27,2,2,13.5,98
2026-04-30,חמישי,12:00,38,2,2,19.0,119
2026-04-30,חמישי,13:00,35,3,3,11.7,72
2026-04-30,חמישי,14:00,29,3,3,9.7,65
2026-04-30,חמישי,15:00,22,2,2,11.0,61
2026-04-30,חמישי,16:00,11,2,2,5.5,52
2026-04-30,חמישי,17:00,22,2,1,22.0,131
2026-04-30,חמישי,18:00,36,2,2,18.0,115
2026-04-30,חמישי,19:00,23,3,3,7.7,53
2026-04-30,חמישי,20:00,36,2,2,18.0,129
2026-05-05,שלישי,07:00,17,2,2,8.5,67
2026-05-05,שלישי,08:00,52,3,2,26.0,146
2026-05-05,שלישי,09:00,36,3,2,18.0,126
2026-05-05,שלישי,10:00,22,2,2,11.0,63
2026-05-05,שלישי,11:00,27,2,2,13.5,86
2026-05-05,שלישי,12:00,29,2,2,14.5,81
2026-05-05,שלישי,13:00,31,3,3,10.3,50
2026-05-05,שלישי,14:00,39,3,3,13.0,100
2026-05-05,שלישי,15:00,11,2,2,5.5,28
2026-05-05,שלישי,16:00,21,2,2,10.5,79
2026-05-05,שלישי,17:00,20,2,2,10.0,80
2026-05-05,שלישי,18:00,37,2,2,18.5,133
2026-05-05,שלישי,19:00,23,3,3,7.7,49
2026-05-05,שלישי,20:00,22,2,1,22.0,153
2026-05-10,ראשון,07:00,14,2,2,7.0,63
2026-05-10,ראשון,08:00,36,3,2,18.0,132
2026-05-10,ראשון,09:00,42,3,3,14.0,100
2026-05-10,ראשון,10:00,17,2,1,17.0,109
2026-05-10,ראשון,11:00,20,2,2,10.0,50
2026-05-10,ראשון,12:00,38,2,2,19.0,114
2026-05-10,ראשון,13:00,30,3,3,10.0,45
2026-05-10,ראשון,14:00,29,3,3,9.7,53
2026-05-10,ראשון,15:00,16,2,2,8.0,67
2026-05-10,ראשון,16:00,16,2,2,8.0,69
2026-05-10,ראשון,17:00,20,2,2,10.0,73
2026-05-10,ראשון,18:00,20,2,1,20.0,106
2026-05-10,ראשון,19:00,28,3,3,9.3,61
2026-05-10,ראשון,20:00,23,2,2,11.5,58
2026-05-14,חמישי,07:00,16,2,2,8.0,54
2026-05-14,חמישי,08:00,54,3,3,18.0,94
2026-05-14,חמישי,09:00,48,3,3,16.0,108
2026-05-14,חמישי,10:00,17,2,2,8.5,48
2026-05-14,חמישי,11:00,21,2,2,10.5,82
2026-05-14,חמישי,12:00,36,2,2,18.0,99
2026-05-14,חמישי,13:00,29,3,3,9.7,74
2026-05-14,חמישי,14:00,32,3,1,32.0,182
2026-05-14,חמישי,15:00,14,2,2,7.0,57
2026-05-14,חמישי,16:00,13,2,2,6.5,64
2026-05-14,חמישי,17:00,14,2,2,7.0,34
2026-05-14,חמישי,18:00,27,2,2,13.5,82
2026-05-14,חמישי,19:00,20,3,3,6.7,48
2026-05-14,חמישי,20:00,30,2,2,15.0,91
2026-05-18,שני,07:00,15,2,2,7.5,47
2026-05-18,שני,08:00,53,3,2,26.5,150
2026-05-18,שני,09:00,37,3,3,12.3,84
2026-05-18,שני,10:00,27,2,2,13.5,90
2026-05-18,שני,11:00,28,2,2,14.0,99
2026-05-18,שני,12:00,35,2,1,35.0,197
2026-05-18,שני,13:00,44,3,3,14.7,109
2026-05-18,שני,14:00,32,3,2,16.0,92
2026-05-18,שני,15:00,12,2,2,6.0,29
2026-05-18,שני,16:00,10,2,2,5.0,42
2026-05-18,שני,17:00,13,2,2,6.5,62
2026-05-18,שני,18:00,26,2,2,13.0,67
2026-05-18,שני,19:00,20,3,3,6.7,45
2026-05-18,שני,20:00,26,2,2,13.0,63
2026-05-21,חמישי,07:00,17,2,2,8.5,43
2026-05-21,חמישי,08:00,48,3,2,24.0,166
2026-05-21,חמישי,09:00,38,3,3,12.7,67
2026-05-21,חמישי,10:00,27,2,2,13.5,88
2026-05-21,חמישי,11:00,21,2,2,10.5,84
2026-05-21,חמישי,12:00,43,2,2,21.5,123
2026-05-21,חמישי,13:00,40,3,3,13.3,85
2026-05-21,חמישי,14:00,35,3,2,17.5,107
2026-05-21,חמישי,15:00,15,2,2,7.5,49
2026-05-21,חמישי,16:00,14,2,2,7.0,33
2026-05-21,חמישי,17:00,13,2,2,6.5,52
2026-05-21,חמישי,18:00,28,2,2,14.0,74
2026-05-21,חמישי,19:00,24,3,3,8.0,59
2026-05-21,חמישי,20:00,33,2,2,16.5,87
2026-05-24,ראשון,07:00,16,2,1,16.0,113
2026-05-24,ראשון,08:00,47,3,2,23.5,162
2026-05-24,ראשון,09:00,35,3,2,17.5,102
2026-05-24,ראשון,10:00,28,2,1,28.0,156
2026-05-24,ראשון,11:00,20,2,2,10.0,74
2026-05-24,ראשון,12:00,44,2,2,22.0,118
2026-05-24,ראשון,13:00,35,3,3,11.7,66
2026-05-24,ראשון,14:00,43,3,3,14.3,80
2026-05-24,ראשון,15:00,14,2,2,7.0,45
2026-05-24,ראשון,16:00,10,2,2,5.0,51
2026-05-24,ראשון,17:00,22,2,2,11.0,65
2026-05-24,ראשון,18:00,24,2,2,12.0,58
2026-05-24,ראשון,19:00,18,3,3,6.0,32
2026-05-24,ראשון,20:00,37,2,2,18.5,134
2026-05-26,שלישי,07:00,12,2,2,6.0,38
2026-05-26,שלישי,08:00,48,3,3,16.0,110
2026-05-26,שלישי,09:00,43,3,2,21.5,147
2026-05-26,שלישי,10:00,28,2,2,14.0,69
2026-05-26,שלישי,11:00,23,2,2,11.5,77
2026-05-26,שלישי,12:00,45,2,2,22.5,139
2026-05-26,שלישי,13:00,31,3,3,10.3,63
2026-05-26,שלישי,14:00,38,3,3,12.7,80
2026-05-26,שלישי,15:00,13,2,2,6.5,27
2026-05-26,שלישי,16:00,22,2,2,11.0,76
2026-05-26,שלישי,17:00,20,2,2,10.0,46
2026-05-26,שלישי,18:00,38,2,2,19.0,125
2026-05-26,שלישי,19:00,30,3,2,15.0,111
2026-05-26,שלישי,20:00,24,2,2,12.0,91
