תאריך,ספק,פריט,הוזמן,התקבל,פער,פעולה_שננקטה
2026-02-15,חלב טוב,חלב 3%,11,11,0,תקין
2026-02-15,חלב טוב,חלב שיבולת שועל,8,8,0,תקין
2026-02-15,חלב טוב,חלב שקדים,10,7,-3,סומן ביומן — מעקב להזמנה הבאה
2026-02-15,חלב טוב,חלב סויה,20,20,0,תקין
2026-02-15,חלב טוב,שמנת מתוקה,22,22,0,תקין
2026-02-15,מאפיית שמש,קרואסון חמאה,21,21,0,תקין
2026-02-15,מאפיית שמש,קרואסון שוקולד,75,75,0,תקין
2026-02-15,מאפיית שמש,מאפה גבינה,79,79,0,תקין
2026-02-15,קפה ירוק,פולי ערביקה,3,3,0,תקין
2026-02-15,קפה ירוק,פולי רובוסטה,7,7,0,תקין
2026-02-17,מאפיית שמש,קרואסון חמאה,60,60,0,תקין
2026-02-17,מאפיית שמש,קרואסון שוקולד,54,54,0,תקין
2026-02-17,מאפיית שמש,מאפה גבינה,46,46,0,תקין
2026-02-18,חלב טוב,חלב 3%,8,8,0,תקין
2026-02-18,חלב טוב,חלב שיבולת שועל,23,23,0,תקין
2026-02-18,חלב טוב,חלב שקדים,23,23,0,תקין
2026-02-18,חלב טוב,חלב סויה,27,27,0,תקין
2026-02-18,חלב טוב,שמנת מתוקה,14,14,0,תקין
2026-02-19,מאפיית שמש,קרואסון חמאה,65,65,0,תקין
2026-02-19,מאפיית שמש,קרואסון שוקולד,36,36,0,תקין
2026-02-19,מאפיית שמש,מאפה גבינה,68,68,0,תקין
2026-02-21,חלב טוב,חלב 3%,29,29,0,תקין
2026-02-21,חלב טוב,חלב שיבולת שועל,21,17,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-02-21,חלב טוב,חלב שקדים,28,28,0,תקין
2026-02-21,חלב טוב,חלב סויה,27,23,-4,סומן ביומן — מעקב להזמנה הבאה
2026-02-21,חלב טוב,שמנת מתוקה,25,25,0,תקין
2026-02-21,מאפיית שמש,קרואסון חמאה,65,65,0,תקין
2026-02-21,מאפיית שמש,קרואסון שוקולד,20,20,0,תקין
2026-02-21,מאפיית שמש,מאפה גבינה,70,70,0,תקין
2026-02-22,קפה ירוק,פולי ערביקה,8,8,0,תקין
2026-02-22,קפה ירוק,פולי רובוסטה,4,4,0,תקין
2026-02-23,מאפיית שמש,קרואסון חמאה,31,31,0,תקין
2026-02-23,מאפיית שמש,קרואסון שוקולד,27,27,0,תקין
2026-02-23,מאפיית שמש,מאפה גבינה,35,35,0,תקין
2026-02-24,חלב טוב,חלב 3%,11,11,0,תקין
2026-02-24,חלב טוב,חלב שיבולת שועל,29,29,0,תקין
2026-02-24,חלב טוב,חלב שקדים,9,7,-2,סומן ביומן — מעקב להזמנה הבאה
2026-02-24,חלב טוב,חלב סויה,17,17,0,תקין
2026-02-24,חלב טוב,שמנת מתוקה,14,14,0,תקין
2026-02-25,מאפיית שמש,קרואסון חמאה,70,70,0,תקין
2026-02-25,מאפיית שמש,קרואסון שוקולד,20,20,0,תקין
2026-02-25,מאפיית שמש,מאפה גבינה,64,64,0,תקין
2026-02-27,חלב טוב,חלב 3%,10,7,-3,סומן ביומן — מעקב להזמנה הבאה
2026-02-27,חלב טוב,חלב שיבולת שועל,28,28,0,תקין
2026-02-27,חלב טוב,חלב שקדים,30,25,-5,סומן ביומן — מעקב להזמנה הבאה
2026-02-27,חלב טוב,חלב סויה,25,25,0,תקין
2026-02-27,חלב טוב,שמנת מתוקה,22,22,0,תקין
2026-02-27,מאפיית שמש,קרואסון חמאה,66,66,0,תקין
2026-02-27,מאפיית שמש,קרואסון שוקולד,65,65,0,תקין
2026-02-27,מאפיית שמש,מאפה גבינה,51,51,0,תקין
2026-03-01,מאפיית שמש,קרואסון חמאה,40,40,0,תקין
2026-03-01,מאפיית שמש,קרואסון שוקולד,78,78,0,תקין
2026-03-01,מאפיית שמש,מאפה גבינה,29,29,0,תקין
2026-03-01,קפה ירוק,פולי ערביקה,5,5,0,תקין
2026-03-01,קפה ירוק,פולי רובוסטה,7,7,0,תקין
2026-03-02,חלב טוב,חלב 3%,27,27,0,תקין
2026-03-02,חלב טוב,חלב שיבולת שועל,10,7,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-02,חלב טוב,חלב שקדים,25,25,0,תקין
2026-03-02,חלב טוב,חלב סויה,28,28,0,תקין
2026-03-02,חלב טוב,שמנת מתוקה,10,10,0,תקין
2026-03-03,מאפיית שמש,קרואסון חמאה,32,32,0,תקין
2026-03-03,מאפיית שמש,קרואסון שוקולד,56,56,0,תקין
2026-03-03,מאפיית שמש,מאפה גבינה,59,59,0,תקין
2026-03-05,חלב טוב,חלב 3%,19,12,-7,סומן ביומן — מעקב להזמנה הבאה
2026-03-05,חלב טוב,חלב שיבולת שועל,28,20,-8,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-05,חלב טוב,חלב שקדים,19,19,0,תקין
2026-03-05,חלב טוב,חלב סויה,30,30,0,תקין
2026-03-05,חלב טוב,שמנת מתוקה,9,9,0,תקין
2026-03-05,מאפיית שמש,קרואסון חמאה,53,53,0,תקין
2026-03-05,מאפיית שמש,קרואסון שוקולד,44,44,0,תקין
2026-03-05,מאפיית שמש,מאפה גבינה,56,56,0,תקין
2026-03-05,יעקב אספקה,כוסות קטנות,46,46,0,תקין
2026-03-05,יעקב אספקה,כוסות גדולות take-away,42,42,0,תקין
2026-03-05,יעקב אספקה,מכסים,76,76,0,תקין
2026-03-05,יעקב אספקה,מפיות,4,4,0,תקין
2026-03-05,יעקב אספקה,סוכר לבן,5,5,0,תקין
2026-03-07,מאפיית שמש,קרואסון חמאה,40,40,0,תקין
2026-03-07,מאפיית שמש,קרואסון שוקולד,47,47,0,תקין
2026-03-07,מאפיית שמש,מאפה גבינה,54,54,0,תקין
2026-03-08,חלב טוב,חלב 3%,16,16,0,תקין
2026-03-08,חלב טוב,חלב שיבולת שועל,8,8,0,תקין
2026-03-08,חלב טוב,חלב שקדים,24,24,0,תקין
2026-03-08,חלב טוב,חלב סויה,15,10,-5,סומן ביומן — מעקב להזמנה הבאה
2026-03-08,חלב טוב,שמנת מתוקה,30,30,0,תקין
2026-03-08,קפה ירוק,פולי ערביקה,6,6,0,תקין
2026-03-08,קפה ירוק,פולי רובוסטה,3,3,0,תקין
2026-03-09,מאפיית שמש,קרואסון חמאה,35,35,0,תקין
2026-03-09,מאפיית שמש,קרואסון שוקולד,56,56,0,תקין
2026-03-09,מאפיית שמש,מאפה גבינה,66,66,0,תקין
2026-03-11,חלב טוב,חלב 3%,30,30,0,תקין
2026-03-11,חלב טוב,חלב שיבולת שועל,17,11,-6,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-11,חלב טוב,חלב שקדים,18,18,0,תקין
2026-03-11,חלב טוב,חלב סויה,11,11,0,תקין
2026-03-11,חלב טוב,שמנת מתוקה,27,27,0,תקין
2026-03-11,מאפיית שמש,קרואסון חמאה,22,22,0,תקין
2026-03-11,מאפיית שמש,קרואסון שוקולד,52,52,0,תקין
2026-03-11,מאפיית שמש,מאפה גבינה,66,66,0,תקין
2026-03-13,מאפיית שמש,קרואסון חמאה,52,52,0,תקין
2026-03-13,מאפיית שמש,קרואסון שוקולד,29,29,0,תקין
2026-03-13,מאפיית שמש,מאפה גבינה,67,67,0,תקין
2026-03-14,חלב טוב,חלב 3%,10,10,0,תקין
2026-03-14,חלב טוב,חלב שיבולת שועל,12,12,0,תקין
2026-03-14,חלב טוב,חלב שקדים,23,17,-6,סומן ביומן — מעקב להזמנה הבאה
2026-03-14,חלב טוב,חלב סויה,24,24,0,תקין
2026-03-14,חלב טוב,שמנת מתוקה,21,21,0,תקין
2026-03-15,מאפיית שמש,קרואסון חמאה,46,46,0,תקין
2026-03-15,מאפיית שמש,קרואסון שוקולד,42,42,0,תקין
2026-03-15,מאפיית שמש,מאפה גבינה,42,42,0,תקין
2026-03-15,קפה ירוק,פולי ערביקה,8,8,0,תקין
2026-03-15,קפה ירוק,פולי רובוסטה,8,8,0,תקין
2026-03-17,חלב טוב,חלב 3%,9,9,0,תקין
2026-03-17,חלב טוב,חלב שיבולת שועל,17,13,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-17,חלב טוב,חלב שקדים,18,18,0,תקין
2026-03-17,חלב טוב,חלב סויה,25,25,0,תקין
2026-03-17,חלב טוב,שמנת מתוקה,27,27,0,תקין
2026-03-17,מאפיית שמש,קרואסון חמאה,53,53,0,תקין
2026-03-17,מאפיית שמש,קרואסון שוקולד,32,32,0,תקין
2026-03-17,מאפיית שמש,מאפה גבינה,61,61,0,תקין
2026-03-19,מאפיית שמש,קרואסון חמאה,62,62,0,תקין
2026-03-19,מאפיית שמש,קרואסון שוקולד,38,38,0,תקין
2026-03-19,מאפיית שמש,מאפה גבינה,52,52,0,תקין
2026-03-20,חלב טוב,חלב 3%,23,19,-4,סומן ביומן — מעקב להזמנה הבאה
2026-03-20,חלב טוב,חלב שיבולת שועל,22,14,-8,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-20,חלב טוב,חלב שקדים,17,17,0,תקין
2026-03-20,חלב טוב,חלב סויה,8,8,0,תקין
2026-03-20,חלב טוב,שמנת מתוקה,17,17,0,תקין
2026-03-21,מאפיית שמש,קרואסון חמאה,36,36,0,תקין
2026-03-21,מאפיית שמש,קרואסון שוקולד,34,34,0,תקין
2026-03-21,מאפיית שמש,מאפה גבינה,28,28,0,תקין
2026-03-22,קפה ירוק,פולי ערביקה,8,8,0,תקין
2026-03-22,קפה ירוק,פולי רובוסטה,5,5,0,תקין
2026-03-23,חלב טוב,חלב 3%,18,18,0,תקין
2026-03-23,חלב טוב,חלב שיבולת שועל,12,12,0,תקין
2026-03-23,חלב טוב,חלב שקדים,17,17,0,תקין
2026-03-23,חלב טוב,חלב סויה,21,21,0,תקין
2026-03-23,חלב טוב,שמנת מתוקה,26,26,0,תקין
2026-03-23,מאפיית שמש,קרואסון חמאה,80,80,0,תקין
2026-03-23,מאפיית שמש,קרואסון שוקולד,66,66,0,תקין
2026-03-23,מאפיית שמש,מאפה גבינה,46,46,0,תקין
2026-03-25,מאפיית שמש,קרואסון חמאה,79,79,0,תקין
2026-03-25,מאפיית שמש,קרואסון שוקולד,26,16,-10,סומן ביומן — מעקב להזמנה הבאה
2026-03-25,מאפיית שמש,מאפה גבינה,37,37,0,תקין
2026-03-26,חלב טוב,חלב 3%,27,27,0,תקין
2026-03-26,חלב טוב,חלב שיבולת שועל,30,22,-8,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-03-26,חלב טוב,חלב שקדים,30,30,0,תקין
2026-03-26,חלב טוב,חלב סויה,23,23,0,תקין
2026-03-26,חלב טוב,שמנת מתוקה,9,9,0,תקין
2026-03-27,מאפיית שמש,קרואסון חמאה,34,34,0,תקין
2026-03-27,מאפיית שמש,קרואסון שוקולד,31,31,0,תקין
2026-03-27,מאפיית שמש,מאפה גבינה,75,75,0,תקין
2026-03-29,חלב טוב,חלב 3%,9,9,0,תקין
2026-03-29,חלב טוב,חלב שיבולת שועל,20,20,0,תקין
2026-03-29,חלב טוב,חלב שקדים,24,24,0,תקין
2026-03-29,חלב טוב,חלב סויה,22,22,0,תקין
2026-03-29,חלב טוב,שמנת מתוקה,15,15,0,תקין
2026-03-29,מאפיית שמש,קרואסון חמאה,55,55,0,תקין
2026-03-29,מאפיית שמש,קרואסון שוקולד,32,32,0,תקין
2026-03-29,מאפיית שמש,מאפה גבינה,69,69,0,תקין
2026-03-29,קפה ירוק,פולי ערביקה,6,6,0,תקין
2026-03-29,קפה ירוק,פולי רובוסטה,8,8,0,תקין
2026-03-31,מאפיית שמש,קרואסון חמאה,27,27,0,תקין
2026-03-31,מאפיית שמש,קרואסון שוקולד,54,54,0,תקין
2026-03-31,מאפיית שמש,מאפה גבינה,21,21,0,תקין
2026-04-01,חלב טוב,חלב 3%,30,24,-6,סומן ביומן — מעקב להזמנה הבאה
2026-04-01,חלב טוב,חלב שיבולת שועל,28,28,0,תקין
2026-04-01,חלב טוב,חלב שקדים,11,11,0,תקין
2026-04-01,חלב טוב,חלב סויה,10,10,0,תקין
2026-04-01,חלב טוב,שמנת מתוקה,24,24,0,תקין
2026-04-02,מאפיית שמש,קרואסון חמאה,69,69,0,תקין
2026-04-02,מאפיית שמש,קרואסון שוקולד,75,75,0,תקין
2026-04-02,מאפיית שמש,מאפה גבינה,69,69,0,תקין
2026-04-04,חלב טוב,חלב 3%,17,17,0,תקין
2026-04-04,חלב טוב,חלב שיבולת שועל,13,9,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-04,חלב טוב,חלב שקדים,8,8,0,תקין
2026-04-04,חלב טוב,חלב סויה,8,8,0,תקין
2026-04-04,חלב טוב,שמנת מתוקה,29,29,0,תקין
2026-04-04,מאפיית שמש,קרואסון חמאה,58,58,0,תקין
2026-04-04,מאפיית שמש,קרואסון שוקולד,59,59,0,תקין
2026-04-04,מאפיית שמש,מאפה גבינה,23,18,-5,סומן ביומן — מעקב להזמנה הבאה
2026-04-04,יעקב אספקה,כוסות קטנות,74,74,0,תקין
2026-04-04,יעקב אספקה,כוסות גדולות take-away,41,26,-15,סימנתי ליעקב — הבטיח לשלוח השלמה בהזמנה הבאה
2026-04-04,יעקב אספקה,מכסים,63,63,0,תקין
2026-04-04,יעקב אספקה,מפיות,6,6,0,תקין
2026-04-04,יעקב אספקה,סוכר לבן,6,6,0,תקין
2026-04-05,קפה ירוק,פולי ערביקה,4,4,0,תקין
2026-04-05,קפה ירוק,פולי רובוסטה,2,2,0,תקין
2026-04-06,מאפיית שמש,קרואסון חמאה,38,38,0,תקין
2026-04-06,מאפיית שמש,קרואסון שוקולד,41,41,0,תקין
2026-04-06,מאפיית שמש,מאפה גבינה,33,33,0,תקין
2026-04-07,חלב טוב,חלב 3%,28,28,0,תקין
2026-04-07,חלב טוב,חלב שיבולת שועל,27,18,-9,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-07,חלב טוב,חלב שקדים,16,16,0,תקין
2026-04-07,חלב טוב,חלב סויה,12,12,0,תקין
2026-04-07,חלב טוב,שמנת מתוקה,28,28,0,תקין
2026-04-08,מאפיית שמש,קרואסון חמאה,65,58,-7,סומן ביומן — מעקב להזמנה הבאה
2026-04-08,מאפיית שמש,קרואסון שוקולד,70,70,0,תקין
2026-04-08,מאפיית שמש,מאפה גבינה,46,46,0,תקין
2026-04-10,חלב טוב,חלב 3%,28,28,0,תקין
2026-04-10,חלב טוב,חלב שיבולת שועל,16,12,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-10,חלב טוב,חלב שקדים,8,8,0,תקין
2026-04-10,חלב טוב,חלב סויה,26,26,0,תקין
2026-04-10,חלב טוב,שמנת מתוקה,18,18,0,תקין
2026-04-10,מאפיית שמש,קרואסון חמאה,61,61,0,תקין
2026-04-10,מאפיית שמש,קרואסון שוקולד,77,77,0,תקין
2026-04-10,מאפיית שמש,מאפה גבינה,70,70,0,תקין
2026-04-12,מאפיית שמש,קרואסון חמאה,73,73,0,תקין
