רבעון,תאריך_רכישה,פריט,כמות,יחידה,מחיר_ליחידה_שח,סה_כ_שח,ספק,הערה
2025-Q3,2025-08-12,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2025-Q3,2025-08-12,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2025-Q3,2025-08-12,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2025-Q3,2025-08-12,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
2025-Q4,2025-11-08,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2025-Q4,2025-11-08,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2025-Q4,2025-11-08,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2025-Q4,2025-11-08,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2025-Q4,2025-11-08,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
2025-Q4,2025-11-08,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2025-Q4,2025-11-08,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2025-Q4,2025-11-08,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2025-Q4,2025-11-08,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
2026-Q1,2026-02-14,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2026-Q1,2026-02-14,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2026-Q1,2026-02-14,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2026-Q1,2026-02-14,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2026-Q1,2026-02-14,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
2026-Q1,2026-02-14,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2026-Q1,2026-02-14,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2026-Q1,2026-02-14,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2026-Q1,2026-02-14,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
2026-Q2,2026-05-09,ניירות מסנן V60,4,חבילה 100 יח,38,152,Espresso Shop ת״א,לקפה פילטר
2026-Q2,2026-05-09,ניירות מסנן Chemex,1,חבילה 100 יח,52,52,Espresso Shop ת״א,מעט בשימוש
2026-Q2,2026-05-09,טבליות descaling למכונה,2,צנצנת 30 טבליות,145,290,La Marzocco ישראל,כל 3 חודשים לפי הוראת יצרן
2026-Q2,2026-05-09,Cafiza – חומר ניקוי קבוצת חליטה,1,קופסה 900 גרם,95,95,La Marzocco ישראל,ניקוי backflush יומי
2026-Q2,2026-05-09,מברשות ניקוי לקבוצה,2,יח׳,35,70,La Marzocco ישראל,להחלפה כל רבעון
2026-Q2,2026-05-09,מסנני מים לטיהור (resin),1,מסנן,480,480,La Marzocco ישראל,כל חצי שנה אבל מחליפים כל רבעון בגלל מים קשים
2026-Q2,2026-05-09,חוליות גומי לקבוצה (gaskets),2,יח׳,28,56,La Marzocco ישראל,החלפה לפי שחיקה
2026-Q2,2026-05-09,שמן לטחנת קפה,1,בקבוק 250מל,65,65,Espresso Shop ת״א,
2026-Q2,2026-05-09,מברשת ניקוי לטחנה,1,יח׳,22,22,Espresso Shop ת״א,
