חודש,פריט,צריכה,יחידה
2025-07,סוכריות סוכר חום,21.29,חבילה 1000 יח
2025-07,ממתיק סטיביה,10.59,חבילה 500 יח
2025-07,ממתיק סוכרזית,3.14,חבילה 500 יח
2025-07,דבש (לתה),3.05,"צנצנת 1 ק""ג"
2025-07,קקאו לפיזור,1.85,"שקית 1 ק""ג"
2025-07,קינמון לפיזור,0.99,שקית 500 גרם
2025-07,שוקולד חם בתפזורת,4.64,"ק""ג"
2025-08,סירופ וניל,4.14,בקבוק 750מל
2025-08,סירופ קרמל,6.68,בקבוק 750מל
2025-08,סירופ אגוז (hazelnut),1.98,בקבוק 750מל
2025-08,סירופ ורד,0.88,בקבוק 750מל
2025-08,סוכריות סוכר לבן,26.72,חבילה 1000 יח
2025-08,סוכריות סוכר חום,19.86,חבילה 1000 יח
2025-08,ממתיק סטיביה,11.33,חבילה 500 יח
2025-08,ממתיק סוכרזית,3.76,חבילה 500 יח
2025-08,דבש (לתה),2.96,"צנצנת 1 ק""ג"
2025-08,קקאו לפיזור,2.15,"שקית 1 ק""ג"
2025-08,קינמון לפיזור,1.03,שקית 500 גרם
2025-08,שוקולד חם בתפזורת,4.18,"ק""ג"
2025-09,סירופ וניל,4.13,בקבוק 750מל
2025-09,סירופ קרמל,6.74,בקבוק 750מל
2025-09,סירופ אגוז (hazelnut),1.91,בקבוק 750מל
2025-09,סירופ ורד,0.98,בקבוק 750מל
2025-09,סוכריות סוכר לבן,24.49,חבילה 1000 יח
2025-09,סוכריות סוכר חום,23.46,חבילה 1000 יח
2025-09,ממתיק סטיביה,10.71,חבילה 500 יח
2025-09,ממתיק סוכרזית,3.16,חבילה 500 יח
2025-09,דבש (לתה),2.72,"צנצנת 1 ק""ג"
2025-09,קקאו לפיזור,1.81,"שקית 1 ק""ג"
2025-09,קינמון לפיזור,0.92,שקית 500 גרם
2025-09,שוקולד חם בתפזורת,3.95,"ק""ג"
2025-10,סירופ וניל,4.44,בקבוק 750מל
2025-10,סירופ קרמל,5.72,בקבוק 750מל
2025-10,סירופ אגוז (hazelnut),2.08,בקבוק 750מל
2025-10,סירופ ורד,0.98,בקבוק 750מל
2025-10,סוכריות סוכר לבן,23.02,חבילה 1000 יח
2025-10,סוכריות סוכר חום,22.66,חבילה 1000 יח
2025-10,ממתיק סטיביה,11.11,חבילה 500 יח
2025-10,ממתיק סוכרזית,2.91,חבילה 500 יח
2025-10,דבש (לתה),2.68,"צנצנת 1 ק""ג"
2025-10,קקאו לפיזור,1.95,"שקית 1 ק""ג"
2025-10,קינמון לפיזור,0.96,שקית 500 גרם
2025-10,שוקולד חם בתפזורת,4.27,"ק""ג"
2025-11,סירופ וניל,4.6,בקבוק 750מל
2025-11,סירופ קרמל,6.31,בקבוק 750מל
2025-11,סירופ אגוז (hazelnut),2.37,בקבוק 750מל
2025-11,סירופ ורד,0.91,בקבוק 750מל
2025-11,סוכריות סוכר לבן,23.22,חבילה 1000 יח
2025-11,סוכריות סוכר חום,23.86,חבילה 1000 יח
2025-11,ממתיק סטיביה,12.25,חבילה 500 יח
2025-11,ממתיק סוכרזית,3.19,חבילה 500 יח
2025-11,דבש (לתה),3.18,"צנצנת 1 ק""ג"
2025-11,קקאו לפיזור,1.94,"שקית 1 ק""ג"
2025-11,קינמון לפיזור,0.91,שקית 500 גרם
2025-11,שוקולד חם בתפזורת,3.94,"ק""ג"
2025-12,סירופ וניל,4.84,בקבוק 750מל
2025-12,סירופ קרמל,6.5,בקבוק 750מל
2025-12,סירופ אגוז (hazelnut),2.21,בקבוק 750מל
2025-12,סירופ ורד,0.98,בקבוק 750מל
2025-12,סוכריות סוכר לבן,23.4,חבילה 1000 יח
2025-12,סוכריות סוכר חום,25.08,חבילה 1000 יח
2025-12,ממתיק סטיביה,11.71,חבילה 500 יח
2025-12,ממתיק סוכרזית,3.47,חבילה 500 יח
2025-12,דבש (לתה),3.13,"צנצנת 1 ק""ג"
2025-12,קקאו לפיזור,1.88,"שקית 1 ק""ג"
2025-12,קינמון לפיזור,1.01,שקית 500 גרם
2025-12,שוקולד חם בתפזורת,4.74,"ק""ג"
2026-01,סירופ וניל,4.73,בקבוק 750מל
2026-01,סירופ קרמל,6.65,בקבוק 750מל
2026-01,סירופ אגוז (hazelnut),2.02,בקבוק 750מל
2026-01,סירופ ורד,1.03,בקבוק 750מל
2026-01,סוכריות סוכר לבן,23.22,חבילה 1000 יח
2026-01,סוכריות סוכר חום,26.03,חבילה 1000 יח
2026-01,ממתיק סטיביה,12.41,חבילה 500 יח
2026-01,ממתיק סוכרזית,3.39,חבילה 500 יח
2026-01,דבש (לתה),3.2,"צנצנת 1 ק""ג"
2026-01,קקאו לפיזור,2.02,"שקית 1 ק""ג"
2026-01,קינמון לפיזור,0.98,שקית 500 גרם
2026-01,שוקולד חם בתפזורת,4.92,"ק""ג"
2026-02,סירופ וניל,4.98,בקבוק 750מל
2026-02,סירופ קרמל,6.12,בקבוק 750מל
2026-02,סירופ אגוז (hazelnut),2.24,בקבוק 750מל
2026-02,סירופ ורד,1.08,בקבוק 750מל
2026-02,סוכריות סוכר לבן,23.74,חבילה 1000 יח
2026-02,סוכריות סוכר חום,26.55,חבילה 1000 יח
2026-02,ממתיק סטיביה,11.62,חבילה 500 יח
2026-02,ממתיק סוכרזית,3.27,חבילה 500 יח
2026-02,דבש (לתה),2.99,"צנצנת 1 ק""ג"
2026-02,קקאו לפיזור,2.05,"שקית 1 ק""ג"
2026-02,קינמון לפיזור,1.08,שקית 500 גרם
2026-02,שוקולד חם בתפזורת,4.39,"ק""ג"
2026-03,סירופ וניל,4.94,בקבוק 750מל
2026-03,סירופ קרמל,7.33,בקבוק 750מל
2026-03,סירופ אגוז (hazelnut),2.33,בקבוק 750מל
2026-03,סירופ ורד,1.0,בקבוק 750מל
2026-03,סוכריות סוכר לבן,22.27,חבילה 1000 יח
2026-03,סוכריות סוכר חום,25.69,חבילה 1000 יח
2026-03,ממתיק סטיביה,13.81,חבילה 500 יח
2026-03,ממתיק סוכרזית,2.74,חבילה 500 יח
2026-03,דבש (לתה),2.92,"צנצנת 1 ק""ג"
2026-03,קקאו לפיזור,1.82,"שקית 1 ק""ג"
2026-03,קינמון לפיזור,0.91,שקית 500 גרם
2026-03,שוקולד חם בתפזורת,4.62,"ק""ג"
2026-04,סירופ וניל,4.92,בקבוק 750מל
2026-04,סירופ קרמל,7.13,בקבוק 750מל
2026-04,סירופ אגוז (hazelnut),2.36,בקבוק 750מל
2026-04,סירופ ורד,1.11,בקבוק 750מל
2026-04,סוכריות סוכר לבן,23.91,חבילה 1000 יח
2026-04,סוכריות סוכר חום,25.83,חבילה 1000 יח
2026-04,ממתיק סטיביה,13.47,חבילה 500 יח
2026-04,ממתיק סוכרזית,2.64,חבילה 500 יח
2026-04,דבש (לתה),3.18,"צנצנת 1 ק""ג"
2026-04,קקאו לפיזור,1.98,"שקית 1 ק""ג"
2026-04,קינמון לפיזור,0.94,שקית 500 גרם
2026-04,שוקולד חם בתפזורת,5.13,"ק""ג"
2026-05,סירופ וניל,5.08,בקבוק 750מל
2026-05,סירופ קרמל,7.33,בקבוק 750מל
2026-05,סירופ אגוז (hazelnut),2.38,בקבוק 750מל
2026-05,סירופ ורד,0.88,בקבוק 750מל
2026-05,סוכריות סוכר לבן,26.15,חבילה 1000 יח
2026-05,סוכריות סוכר חום,26.09,חבילה 1000 יח
2026-05,ממתיק סטיביה,12.68,חבילה 500 יח
2026-05,ממתיק סוכרזית,2.7,חבילה 500 יח
2026-05,דבש (לתה),3.29,"צנצנת 1 ק""ג"
2026-05,קקאו לפיזור,2.08,"שקית 1 ק""ג"
2026-05,קינמון לפיזור,0.98,שקית 500 גרם
2026-05,שוקולד חם בתפזורת,5.08,"ק""ג"
