תאריך,פריט,סוג_תנועה,כמות,יחידה,עובד,סיבה_הערה
2026-01-04,קרואסון חמאה,out,8,יח׳,דני,שימוש שוטף
2026-01-04,קרואסון חמאה,out,8,יח׳,נועה,שימוש שוטף
2026-01-04,קרואסון חמאה,out,8,יח׳,טל,שימוש שוטף
2026-01-04,קרואסון שוקולד,out,7,יח׳,נועה,שימוש שוטף
2026-01-04,קרואסון שוקולד,out,7,יח׳,נועה,שימוש שוטף
2026-01-04,מאפה גבינה,out,14,יח׳,נועה,שימוש שוטף
2026-01-04,לימונים,out,0.96,"ק""ג",מיכל,שימוש שוטף
2026-01-04,לימונים,out,0.96,"ק""ג",טל,שימוש שוטף
2026-01-04,נענע,out,3.69,צרור,נועה,שימוש שוטף
2026-01-04,סוכר לבן,out,0.47,"ק""ג",דני,שימוש שוטף
2026-01-04,סוכר לבן,out,0.47,"ק""ג",מיכל,שימוש שוטף
2026-01-04,סוכריות סוכר,out,103,יח׳,מיכל,שימוש שוטף
2026-01-04,סירופ וניל,out,0.18,בקבוק,נועה,שימוש שוטף
2026-01-04,סירופ קרמל,out,0.08,בקבוק,מיכל,שימוש שוטף
2026-01-04,סירופ קרמל,out,0.08,בקבוק,מיכל,שימוש שוטף
2026-01-04,כוסות קטנות,out,12,יח׳,נועה,שימוש שוטף
2026-01-04,כוסות קטנות,out,12,יח׳,מיכל,שימוש שוטף
2026-01-04,כוסות קטנות,out,12,יח׳,טל,שימוש שוטף
2026-01-04,כוסות גדולות take-away,out,21,יח׳,מיכל,שימוש שוטף
2026-01-04,כוסות גדולות take-away,out,21,יח׳,מיכל,שימוש שוטף
2026-01-04,כוסות גדולות take-away,out,21,יח׳,נועה,שימוש שוטף
2026-01-04,מכסים,out,34,יח׳,דני,שימוש שוטף
2026-01-04,מכסים,out,34,יח׳,נועה,שימוש שוטף
2026-01-04,מפיות,out,1,חבילה,דני,שימוש שוטף
2026-01-04,מפיות,out,1,חבילה,נועה,שימוש שוטף
2026-01-04,שקיות נייר,out,12,יח׳,דני,שימוש שוטף
2026-01-04,שקיות נייר,out,12,יח׳,דני,שימוש שוטף
2026-01-04,חלב שיבולת שועל,waste,1.05,ליטר,דני,תפוגה — נפתח ולא נגמר במשמרת
2026-01-04,כוסות גדולות take-away,waste,4,יח׳,נועה,פג תוקף
2026-01-05,חלב סויה,in,10,ליטר,טל,משלוח רגיל
2026-01-05,קרואסון חמאה,in,36,יח׳,דני,הזמנה שבועית — הוזמן יותר מדי (התראה לרונית)
2026-01-05,קרואסון שוקולד,in,24,יח׳,מיכל,הזמנה שבועית — הוזמן יותר מדי (התראה לרונית)
2026-01-05,מאפה גבינה,in,12,יח׳,דני,משלוח רגיל
2026-01-05,כוסות גדולות take-away,in,337,יח׳,מיכל,משלוח רגיל
2026-01-05,מכסים,in,519,יח׳,דני,משלוח רגיל
2026-01-05,חלב 3%,out,5.28,ליטר,מיכל,שימוש שוטף
2026-01-05,חלב 3%,out,5.28,ליטר,מיכל,שימוש שוטף
2026-01-05,חלב 3%,out,5.28,ליטר,נועה,שימוש שוטף
2026-01-05,חלב שיבולת שועל,out,3.76,ליטר,דני,שימוש שוטף
2026-01-05,חלב שיבולת שועל,out,3.76,ליטר,מיכל,שימוש שוטף
2026-01-05,חלב שיבולת שועל,out,3.76,ליטר,נועה,שימוש שוטף
2026-01-05,חלב שקדים,out,0.89,ליטר,דני,שימוש שוטף
2026-01-05,חלב שקדים,out,0.89,ליטר,דני,שימוש שוטף
2026-01-05,חלב שקדים,out,0.89,ליטר,נועה,שימוש שוטף
2026-01-05,חלב סויה,out,0.77,ליטר,נועה,שימוש שוטף
2026-01-05,חלב סויה,out,0.77,ליטר,דני,שימוש שוטף
2026-01-05,חלב סויה,out,0.77,ליטר,דני,שימוש שוטף
2026-01-05,חלב ללא לקטוז,out,0.44,ליטר,דני,שימוש שוטף
2026-01-05,חלב ללא לקטוז,out,0.44,ליטר,דני,שימוש שוטף
2026-01-05,שמנת מתוקה,out,0.97,ליטר,מיכל,שימוש שוטף
2026-01-05,שמנת מתוקה,out,0.97,ליטר,דני,שימוש שוטף
2026-01-05,פולי ערביקה,out,0.75,"ק""ג",נועה,שימוש שוטף
2026-01-05,פולי ערביקה,out,0.75,"ק""ג",דני,שימוש שוטף
2026-01-05,פולי ערביקה,out,0.75,"ק""ג",דני,שימוש שוטף
2026-01-05,פולי רובוסטה,out,0.66,"ק""ג",נועה,שימוש שוטף
2026-01-05,פולי דקאף,out,0.22,"ק""ג",טל,שימוש שוטף
2026-01-05,קרואסון חמאה,out,4,יח׳,מיכל,שימוש שוטף
2026-01-05,קרואסון חמאה,out,4,יח׳,נועה,שימוש שוטף
2026-01-05,קרואסון חמאה,out,4,יח׳,נועה,שימוש שוטף
2026-01-05,קרואסון שוקולד,out,11,יח׳,נועה,שימוש שוטף
2026-01-05,מאפה גבינה,out,3,יח׳,מיכל,שימוש שוטף
2026-01-05,מאפה גבינה,out,3,יח׳,דני,שימוש שוטף
2026-01-05,מאפה גבינה,out,3,יח׳,מיכל,שימוש שוטף
2026-01-05,לימונים,out,0.53,"ק""ג",טל,שימוש שוטף
2026-01-05,לימונים,out,0.53,"ק""ג",מיכל,שימוש שוטף
2026-01-05,לימונים,out,0.53,"ק""ג",דני,שימוש שוטף
2026-01-05,נענע,out,0.96,צרור,טל,שימוש שוטף
2026-01-05,נענע,out,0.96,צרור,דני,שימוש שוטף
2026-01-05,נענע,out,0.96,צרור,נועה,שימוש שוטף
2026-01-05,סוכר לבן,out,0.34,"ק""ג",נועה,שימוש שוטף
2026-01-05,סוכר לבן,out,0.34,"ק""ג",דני,שימוש שוטף
2026-01-05,סוכריות סוכר,out,39,יח׳,נועה,שימוש שוטף
2026-01-05,סוכריות סוכר,out,39,יח׳,דני,שימוש שוטף
2026-01-05,סוכריות סוכר,out,39,יח׳,מיכל,שימוש שוטף
2026-01-05,סירופ וניל,out,0.07,בקבוק,דני,שימוש שוטף
2026-01-05,סירופ וניל,out,0.07,בקבוק,נועה,שימוש שוטף
2026-01-05,סירופ קרמל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-05,סירופ קרמל,out,0.05,בקבוק,דני,שימוש שוטף
2026-01-05,סירופ קרמל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-05,כוסות קטנות,out,37,יח׳,דני,שימוש שוטף
2026-01-05,כוסות גדולות take-away,out,20,יח׳,נועה,שימוש שוטף
2026-01-05,כוסות גדולות take-away,out,20,יח׳,נועה,שימוש שוטף
2026-01-05,כוסות גדולות take-away,out,20,יח׳,מיכל,שימוש שוטף
2026-01-05,מכסים,out,36,יח׳,מיכל,שימוש שוטף
2026-01-05,מכסים,out,36,יח׳,מיכל,שימוש שוטף
2026-01-05,מכסים,out,36,יח׳,דני,שימוש שוטף
2026-01-05,מפיות,out,1,חבילה,נועה,שימוש שוטף
2026-01-05,מפיות,out,1,חבילה,מיכל,שימוש שוטף
2026-01-05,שקיות נייר,out,42,יח׳,טל,שימוש שוטף
2026-01-05,קרואסון חמאה,waste,14,יח׳,נועה,שאריות יום ראשון — שוב הזמנו 40 וקיבלנו 28 לקוחות
2026-01-06,חלב 3%,in,28,ליטר,טל,משלוח רגיל
2026-01-06,חלב שיבולת שועל,in,12,ליטר,נועה,משלוח רגיל — חסר מול ההזמנה
2026-01-06,קרואסון חמאה,in,23,יח׳,נועה,משלוח רגיל
2026-01-06,קרואסון שוקולד,in,14,יח׳,מיכל,משלוח רגיל
2026-01-06,מאפה גבינה,in,12,יח׳,דני,משלוח רגיל
2026-01-06,חלב שיבולת שועל,in,6,ליטר,דני,קנייה דחופה בסופר (יקר ב-30%) — לא להישנות
2026-01-06,חלב 3%,out,4.85,ליטר,נועה,שימוש שוטף
2026-01-06,חלב 3%,out,4.85,ליטר,דני,שימוש שוטף
2026-01-06,חלב 3%,out,4.85,ליטר,נועה,שימוש שוטף
2026-01-06,חלב שיבולת שועל,out,11.82,ליטר,נועה,שימוש שוטף
2026-01-06,חלב שקדים,out,1.73,ליטר,מיכל,שימוש שוטף
2026-01-06,חלב שקדים,out,1.73,ליטר,נועה,שימוש שוטף
2026-01-06,חלב סויה,out,2.3,ליטר,נועה,שימוש שוטף
2026-01-06,חלב ללא לקטוז,out,1.09,ליטר,מיכל,שימוש שוטף
2026-01-06,שמנת מתוקה,out,2.54,ליטר,נועה,שימוש שוטף
2026-01-06,פולי ערביקה,out,0.72,"ק""ג",טל,שימוש שוטף
2026-01-06,פולי ערביקה,out,0.72,"ק""ג",דני,שימוש שוטף
2026-01-06,פולי ערביקה,out,0.72,"ק""ג",נועה,שימוש שוטף
2026-01-06,פולי רובוסטה,out,0.21,"ק""ג",מיכל,שימוש שוטף
2026-01-06,פולי רובוסטה,out,0.21,"ק""ג",נועה,שימוש שוטף
2026-01-06,פולי רובוסטה,out,0.21,"ק""ג",מיכל,שימוש שוטף
2026-01-06,פולי דקאף,out,0.31,"ק""ג",טל,שימוש שוטף
2026-01-06,קרואסון חמאה,out,6,יח׳,דני,שימוש שוטף
2026-01-06,קרואסון חמאה,out,6,יח׳,מיכל,שימוש שוטף
2026-01-06,קרואסון חמאה,out,6,יח׳,נועה,שימוש שוטף
2026-01-06,קרואסון שוקולד,out,17,יח׳,דני,שימוש שוטף
2026-01-06,מאפה גבינה,out,4,יח׳,דני,שימוש שוטף
2026-01-06,מאפה גבינה,out,4,יח׳,דני,שימוש שוטף
2026-01-06,לימונים,out,0.81,"ק""ג",מיכל,שימוש שוטף
2026-01-06,לימונים,out,0.81,"ק""ג",מיכל,שימוש שוטף
2026-01-06,נענע,out,1.01,צרור,מיכל,שימוש שוטף
2026-01-06,נענע,out,1.01,צרור,דני,שימוש שוטף
2026-01-06,נענע,out,1.01,צרור,טל,שימוש שוטף
2026-01-06,סוכר לבן,out,0.38,"ק""ג",מיכל,שימוש שוטף
2026-01-06,סוכר לבן,out,0.38,"ק""ג",נועה,שימוש שוטף
2026-01-06,סוכריות סוכר,out,104,יח׳,דני,שימוש שוטף
2026-01-06,סירופ וניל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-06,סירופ וניל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-06,סירופ וניל,out,0.05,בקבוק,מיכל,שימוש שוטף
2026-01-06,סירופ קרמל,out,0.16,בקבוק,נועה,שימוש שוטף
2026-01-06,כוסות קטנות,out,16,יח׳,נועה,שימוש שוטף
2026-01-06,כוסות קטנות,out,16,יח׳,נועה,שימוש שוטף
2026-01-06,כוסות קטנות,out,16,יח׳,טל,שימוש שוטף
2026-01-06,כוסות גדולות take-away,out,20,יח׳,דני,שימוש שוטף
2026-01-06,כוסות גדולות take-away,out,20,יח׳,נועה,שימוש שוטף
2026-01-06,כוסות גדולות take-away,out,20,יח׳,דני,שימוש שוטף
2026-01-06,מכסים,out,55,יח׳,נועה,שימוש שוטף
2026-01-06,מכסים,out,55,יח׳,נועה,שימוש שוטף
2026-01-06,מפיות,out,1,חבילה,נועה,שימוש שוטף
2026-01-06,מפיות,out,1,חבילה,דני,שימוש שוטף
2026-01-06,שקיות נייר,out,12,יח׳,נועה,שימוש שוטף
2026-01-06,שקיות נייר,out,12,יח׳,דני,שימוש שוטף
2026-01-06,שקיות נייר,out,12,יח׳,נועה,שימוש שוטף
2026-01-06,חלב שיבולת שועל,out,4,ליטר,נועה,*** נגמר במהלך המשמרת — שלחתי את דני להביא מהסופר ליד ***
2026-01-06,שמנת מתוקה,waste,0.48,ליטר,נועה,פג תוקף
2026-01-06,קרואסון שוקולד,waste,6,יח׳,דני,שאריות מאתמול — לא נמכרו
2026-01-07,חלב ללא לקטוז,in,7,ליטר,מיכל,משלוח רגיל
2026-01-07,שמנת מתוקה,in,6,ליטר,נועה,משלוח רגיל
2026-01-07,פולי ערביקה,in,18,"ק""ג",דני,משלוח רגיל
2026-01-07,קרואסון חמאה,in,24,יח׳,נועה,משלוח רגיל
2026-01-07,קרואסון שוקולד,in,14,יח׳,נועה,משלוח רגיל
2026-01-07,מאפה גבינה,in,12,יח׳,נועה,משלוח רגיל
2026-01-07,לימונים,in,4,"ק""ג",מיכל,משלוח רגיל
2026-01-07,נענע,in,8,צרור,נועה,משלוח רגיל
2026-01-07,סוכריות סוכר,in,848,יח׳,נועה,משלוח רגיל
2026-01-07,כוסות קטנות,in,334,יח׳,דני,משלוח רגיל
2026-01-07,שקיות נייר,in,235,יח׳,נועה,משלוח רגיל
2026-01-07,חלב 3%,out,3.81,ליטר,נועה,שימוש שוטף
2026-01-07,חלב 3%,out,3.81,ליטר,דני,שימוש שוטף
2026-01-07,חלב 3%,out,3.81,ליטר,מיכל,שימוש שוטף
2026-01-07,חלב שיבולת שועל,out,4.27,ליטר,מיכל,שימוש שוטף
2026-01-07,חלב שיבולת שועל,out,4.27,ליטר,דני,שימוש שוטף
2026-01-07,חלב שיבולת שועל,out,4.27,ליטר,טל,שימוש שוטף
2026-01-07,חלב שקדים,out,1.25,ליטר,נועה,שימוש שוטף
2026-01-07,חלב שקדים,out,1.25,ליטר,נועה,שימוש שוטף
2026-01-07,חלב סויה,out,0.73,ליטר,נועה,שימוש שוטף
2026-01-07,חלב סויה,out,0.73,ליטר,נועה,שימוש שוטף
2026-01-07,חלב ללא לקטוז,out,1.22,ליטר,דני,שימוש שוטף
2026-01-07,שמנת מתוקה,out,1.7,ליטר,מיכל,שימוש שוטף
2026-01-07,פולי ערביקה,out,1.01,"ק""ג",נועה,שימוש שוטף
2026-01-07,פולי ערביקה,out,1.01,"ק""ג",נועה,שימוש שוטף
2026-01-07,פולי ערביקה,out,1.01,"ק""ג",דני,שימוש שוטף
2026-01-07,פולי רובוסטה,out,0.46,"ק""ג",מיכל,שימוש שוטף
2026-01-07,פולי דקאף,out,0.08,"ק""ג",דני,שימוש שוטף
2026-01-07,פולי דקאף,out,0.08,"ק""ג",דני,שימוש שוטף
2026-01-07,פולי דקאף,out,0.08,"ק""ג",דני,שימוש שוטף
2026-01-07,קרואסון חמאה,out,5,יח׳,טל,שימוש שוטף
2026-01-07,קרואסון חמאה,out,5,יח׳,נועה,שימוש שוטף
2026-01-07,קרואסון חמאה,out,5,יח׳,מיכל,שימוש שוטף
2026-01-07,קרואסון שוקולד,out,12,יח׳,נועה,שימוש שוטף
2026-01-07,מאפה גבינה,out,6,יח׳,מיכל,שימוש שוטף
2026-01-07,מאפה גבינה,out,6,יח׳,דני,שימוש שוטף
2026-01-07,לימונים,out,0.53,"ק""ג",מיכל,שימוש שוטף
2026-01-07,לימונים,out,0.53,"ק""ג",נועה,שימוש שוטף
2026-01-07,לימונים,out,0.53,"ק""ג",נועה,שימוש שוטף
2026-01-07,נענע,out,2.23,צרור,נועה,שימוש שוטף
2026-01-07,סוכר לבן,out,0.32,"ק""ג",טל,שימוש שוטף
2026-01-07,סוכר לבן,out,0.32,"ק""ג",דני,שימוש שוטף
2026-01-07,סוכר לבן,out,0.32,"ק""ג",דני,שימוש שוטף
2026-01-07,סוכריות סוכר,out,39,יח׳,נועה,שימוש שוטף
2026-01-07,סוכריות סוכר,out,39,יח׳,נועה,שימוש שוטף
2026-01-07,סוכריות סוכר,out,39,יח׳,דני,שימוש שוטף
2026-01-07,סירופ וניל,out,0.05,בקבוק,נועה,שימוש שוטף
2026-01-07,סירופ וניל,out,0.05,בקבוק,מיכל,שימוש שוטף
2026-01-07,סירופ קרמל,out,0.08,בקבוק,טל,שימוש שוטף
2026-01-07,סירופ קרמל,out,0.08,בקבוק,מיכל,שימוש שוטף
2026-01-07,סירופ קרמל,out,0.08,בקבוק,נועה,שימוש שוטף
2026-01-07,כוסות קטנות,out,14,יח׳,נועה,שימוש שוטף
2026-01-07,כוסות קטנות,out,14,יח׳,טל,שימוש שוטף
2026-01-07,כוסות קטנות,out,14,יח׳,דני,שימוש שוטף
2026-01-07,כוסות גדולות take-away,out,63,יח׳,דני,שימוש שוטף
2026-01-07,מכסים,out,115,יח׳,נועה,שימוש שוטף
2026-01-07,מפיות,out,1,חבילה,דני,שימוש שוטף
2026-01-07,מפיות,out,1,חבילה,מיכל,שימוש שוטף
2026-01-07,שקיות נייר,out,44,יח׳,דני,שימוש שוטף
2026-01-07,חלב 3%,waste,0.56,ליטר,דני,תפוגה — נפתח ולא נגמר במשמרת
2026-01-07,קרואסון שוקולד,waste,5,יח׳,מיכל,שאריות מאתמול — לא נמכרו
2026-01-08,חלב 3%,in,30,ליטר,מיכל,משלוח רגיל
2026-01-08,חלב שיבולת שועל,in,14,ליטר,נועה,משלוח רגיל — חסר מול ההזמנה
2026-01-08,חלב שקדים,in,11,ליטר,מיכל,משלוח רגיל
2026-01-08,קרואסון חמאה,in,22,יח׳,מיכל,משלוח רגיל
