תאריך,תערובת_אספרסו_קג,תערובת_פילטר_קג,דקאף_קג
2025-05-17,1.22,0.2,0.1
2025-05-18,2.89,0.59,0.12
2025-05-19,2.5,0.44,0.23
2025-05-20,3.03,0.44,0.24
2025-05-21,3.01,0.42,0.12
2025-05-22,3.03,0.66,0.1
2025-05-23,2.87,0.61,0.1
2025-05-24,1.17,0.31,0.1
2025-05-25,3.61,0.58,0.27
2025-05-26,2.55,0.58,0.12
2025-05-27,3.08,0.87,0.28
2025-05-28,2.68,0.48,0.2
2025-05-29,2.98,0.52,0.21
2025-05-30,2.85,0.79,0.09
2025-05-31,1.03,0.2,0.06
2025-06-01,3.77,0.81,0.3
2025-06-02,2.6,0.53,0.2
2025-06-03,3.11,0.61,0.22
2025-06-04,2.89,0.92,0.14
2025-06-05,2.82,0.62,0.14
2025-06-06,3.12,0.55,0.3
2025-06-07,1.05,0.19,0.05
2025-06-08,3.63,0.91,0.21
2025-06-09,2.55,0.59,0.12
2025-06-10,2.76,0.74,0.16
2025-06-11,3.34,0.65,0.21
2025-06-12,2.76,0.87,0.14
2025-06-13,2.97,0.99,0.2
2025-06-14,1.24,0.21,0.12
2025-06-15,3.37,0.55,0.19
2025-06-16,3.07,0.46,0.13
2025-06-17,2.86,0.73,0.12
2025-06-18,3.3,0.93,0.12
2025-06-19,3.34,0.6,0.23
2025-06-20,3.85,0.56,0.27
2025-06-21,1.25,0.23,0.1
2025-06-22,3.46,0.65,0.26
2025-06-23,3.06,0.63,0.2
2025-06-24,3.03,0.63,0.2
2025-06-25,2.75,0.82,0.12
2025-06-26,2.73,0.68,0.24
2025-06-27,3.03,0.54,0.11
2025-06-28,1.03,0.31,0.12
2025-06-29,3.27,0.89,0.13
2025-06-30,3.04,0.47,0.12
2025-07-01,3.15,0.82,0.28
2025-07-02,2.69,0.77,0.2
2025-07-03,2.74,0.6,0.29
2025-07-04,3.43,1.06,0.11
2025-07-05,1.15,0.36,0.07
2025-07-06,3.2,0.71,0.2
2025-07-07,2.55,0.71,0.29
2025-07-08,2.77,0.79,0.21
2025-07-09,2.63,0.8,0.21
2025-07-10,2.61,0.77,0.24
2025-07-11,3.56,0.83,0.21
2025-07-12,1.3,0.27,0.07
2025-07-13,3.38,1.07,0.23
2025-07-14,2.82,0.93,0.17
2025-07-15,2.54,0.44,0.28
2025-07-16,2.81,0.81,0.11
2025-07-17,3.27,0.6,0.12
2025-07-18,3.23,0.7,0.18
2025-07-19,1.23,0.22,0.1
2025-07-20,3.47,1.03,0.12
2025-07-21,2.78,0.6,0.11
2025-07-22,2.79,0.66,0.29
2025-07-23,3.0,0.89,0.16
2025-07-24,3.1,0.73,0.32
2025-07-25,3.26,0.72,0.23
2025-07-26,1.28,0.19,0.1
2025-07-27,3.22,0.79,0.27
2025-07-28,2.81,0.74,0.18
2025-07-29,2.89,0.68,0.3
2025-07-30,3.18,0.86,0.22
2025-07-31,2.76,0.44,0.32
2025-08-01,3.29,0.62,0.27
2025-08-02,1.04,0.35,0.05
2025-08-03,3.22,0.52,0.28
2025-08-04,2.92,0.53,0.28
2025-08-05,3.07,0.58,0.28
2025-08-06,2.88,0.7,0.15
2025-08-07,2.86,0.75,0.2
2025-08-08,3.64,0.59,0.11
2025-08-09,1.24,0.35,0.09
2025-08-10,3.1,1.06,0.27
2025-08-11,2.91,0.91,0.22
2025-08-12,3.04,0.82,0.2
2025-08-13,3.0,0.75,0.22
2025-08-14,2.83,0.5,0.14
2025-08-15,3.56,0.66,0.2
2025-08-16,1.12,0.34,0.05
2025-08-17,3.09,0.73,0.29
2025-08-18,3.06,0.55,0.24
2025-08-19,2.86,0.48,0.15
2025-08-20,2.73,0.85,0.21
2025-08-21,2.99,0.65,0.25
2025-08-22,2.93,0.58,0.14
2025-08-23,1.09,0.34,0.1
2025-08-24,3.07,1.0,0.33
2025-08-25,2.93,0.43,0.3
2025-08-26,2.59,0.74,0.3
2025-08-27,3.28,0.63,0.19
2025-08-28,3.07,0.47,0.32
2025-08-29,3.6,0.57,0.13
2025-08-30,1.25,0.36,0.09
2025-08-31,3.7,1.06,0.32
2025-09-01,2.6,0.84,0.15
2025-09-02,2.5,0.8,0.18
2025-09-03,2.87,0.59,0.27
2025-09-04,2.59,0.61,0.13
2025-09-05,2.92,1.02,0.19
2025-09-06,1.04,0.28,0.09
2025-09-07,3.1,1.01,0.17
2025-09-08,2.74,0.74,0.31
2025-09-09,3.1,0.87,0.18
2025-09-10,2.97,0.81,0.1
2025-09-11,3.17,0.7,0.28
2025-09-12,3.37,1.0,0.26
2025-09-13,1.21,0.21,0.09
2025-09-14,3.04,1.01,0.18
2025-09-15,3.05,0.46,0.3
2025-09-16,3.09,0.59,0.3
2025-09-17,2.71,0.89,0.15
2025-09-18,2.47,0.81,0.15
2025-09-19,2.95,0.97,0.31
2025-09-20,1.16,0.34,0.1
2025-09-21,3.13,0.48,0.3
2025-09-22,3.06,0.87,0.21
2025-09-23,2.73,0.82,0.26
2025-09-24,3.1,0.81,0.28
2025-09-25,2.96,0.65,0.18
2025-09-26,3.31,0.93,0.27
2025-09-27,1.11,0.17,0.05
2025-09-28,3.35,0.82,0.27
2025-09-29,2.51,0.6,0.25
2025-09-30,2.65,0.44,0.14
2025-10-01,2.67,0.84,0.27
2025-10-02,2.86,0.78,0.25
2025-10-03,3.31,0.61,0.2
2025-10-04,1.14,0.2,0.09
2025-10-05,3.34,0.87,0.14
2025-10-06,2.6,0.47,0.29
2025-10-07,3.0,0.8,0.14
2025-10-08,3.0,0.82,0.24
2025-10-09,2.76,0.81,0.3
2025-10-10,2.8,0.82,0.13
2025-10-11,1.03,0.23,0.07
2025-10-12,2.7,0.64,0.3
2025-10-13,2.37,0.72,0.2
2025-10-14,2.98,0.6,0.24
2025-10-15,2.37,0.72,0.14
2025-10-16,2.94,0.75,0.16
2025-10-17,3.05,0.51,0.28
2025-10-18,1.09,0.34,0.07
2025-10-19,3.21,0.67,0.18
2025-10-20,2.39,0.52,0.16
2025-10-21,2.75,0.81,0.19
2025-10-22,2.8,0.6,0.11
2025-10-23,2.38,0.53,0.25
2025-10-24,3.22,0.83,0.25
2025-10-25,1.14,0.2,0.05
2025-10-26,2.67,0.62,0.15
2025-10-27,2.97,0.85,0.31
2025-10-28,3.02,0.66,0.27
2025-10-29,2.31,0.5,0.24
2025-10-30,2.51,0.57,0.19
2025-10-31,3.47,0.74,0.23
2025-11-01,1.04,0.26,0.13
2025-11-02,3.57,0.54,0.17
2025-11-03,2.82,0.47,0.13
2025-11-04,2.44,0.46,0.31
2025-11-05,3.07,0.77,0.32
2025-11-06,2.63,0.84,0.24
2025-11-07,3.46,0.61,0.17
2025-11-08,1.25,0.22,0.13
2025-11-09,3.46,0.55,0.31
2025-11-10,2.93,0.8,0.12
2025-11-11,2.52,0.51,0.12
2025-11-12,2.61,0.75,0.2
2025-11-13,3.2,0.86,0.12
2025-11-14,3.09,0.87,0.22
2025-11-15,1.12,0.33,0.12
2025-11-16,2.87,0.51,0.31
2025-11-17,2.54,0.48,0.23
2025-11-18,2.62,0.85,0.24
2025-11-19,2.87,0.89,0.23
2025-11-20,2.86,0.61,0.12
2025-11-21,3.47,0.85,0.31
2025-11-22,0.97,0.3,0.11
2025-11-23,3.12,0.8,0.33
2025-11-24,3.07,0.48,0.12
2025-11-25,3.06,0.73,0.22
2025-11-26,3.16,0.7,0.11
2025-11-27,3.18,0.73,0.33
2025-11-28,3.06,0.88,0.27
2025-11-29,1.27,0.27,0.07
2025-11-30,2.8,0.83,0.18
2025-12-01,2.69,0.48,0.37
2025-12-02,2.98,0.66,0.16
2025-12-03,3.49,0.92,0.14
2025-12-04,3.39,0.53,0.32
2025-12-05,3.32,0.98,0.29
2025-12-06,1.1,0.28,0.1
2025-12-07,3.85,0.7,0.3
2025-12-08,2.76,0.81,0.33
2025-12-09,3.09,0.71,0.34
2025-12-10,3.06,0.75,0.23
2025-12-11,3.31,0.89,0.28
2025-12-12,3.48,0.78,0.14
2025-12-13,1.18,0.28,0.07
2025-12-14,3.73,0.6,0.25
2025-12-15,3.19,0.73,0.19
2025-12-16,3.02,0.94,0.25
2025-12-17,2.77,0.51,0.36
2025-12-18,3.38,0.73,0.19
2025-12-19,3.08,0.55,0.14
2025-12-20,1.09,0.27,0.06
2025-12-21,3.7,0.87,0.19
2025-12-22,2.86,0.48,0.25
2025-12-23,2.74,0.8,0.17
2025-12-24,2.8,0.66,0.14
2025-12-25,3.41,0.6,0.28
2025-12-26,3.5,0.93,0.28
2025-12-27,1.15,0.39,0.14
2025-12-28,3.23,0.62,0.32
2025-12-29,3.17,0.92,0.15
2025-12-30,3.11,0.44,0.15
2025-12-31,2.79,0.7,0.31
