date,time,item,quantity,unit_price,total,payment_method,cashier
2026-01-07,07:56,אספרסו,2,12,24,ביט,אלון
2026-01-07,08:53,עוגת שוקולד,2,30,60,מזומן,נועה
2026-01-07,10:10,אייס קפה,1,20,20,מזומן,דני
2026-01-07,12:08,מיץ תפוזים טרי,1,24,24,אשראי,אלון
2026-01-07,13:05,סנדוויץ׳ טונה,1,42,42,ביט,דני
2026-01-07,13:07,בורקס גבינה,1,18,18,אשראי,דני
2026-01-07,13:34,אייס לאטה,1,22,22,מזומן,יוסי
2026-01-07,16:35,אייס לאטה,2,22,44,אפל פיי,יוסי
2026-01-08,07:53,מאפין אוכמניות,1,22,22,אשראי,מיכל
2026-01-08,09:14,קרואסון שקדים,1,22,22,אשראי,נועה
2026-01-08,09:29,אספרסו כפול,2,14,28,ביט,נועה
2026-01-08,11:28,לאטה,1,18,18,ביט,יוסי
2026-01-08,12:19,מאצ׳ה לאטה,1,24,24,ביט,נועה
2026-01-08,13:19,מאצ׳ה לאטה,1,24,24,ביט,מיכל
2026-01-08,13:54,טירמיסו,2,34,68,ביט,דני
2026-01-09,07:59,אספרסו כפול,2,14,28,ביט,אלון
2026-01-09,11:18,אספרסו,2,12,24,אפל פיי,נועה
2026-01-09,12:01,קפה קר,1,18,18,מזומן,מיכל
2026-01-09,12:59,טוסט עם אבוקדו,1,44,44,אשראי,נועה
2026-01-09,13:41,קפה הפוך,2,16,32,אשראי,מיכל
2026-01-09,13:50,תה נענע טרי,1,16,16,אשראי,אלון
2026-01-11,07:31,ארוחת בוקר ישראלית,1,68,68,ביט,יוסי
2026-01-11,09:06,קפוצ׳ינו,1,17,17,אשראי,יוסי
2026-01-11,10:30,אייס לאטה,3,22,66,אשראי,יוסי
2026-01-11,10:33,לימונענע,1,22,22,מזומן,נועה
2026-01-11,10:36,טוסט גבינה,1,38,38,אשראי,דני
2026-01-11,11:09,אייס לאטה,1,22,22,ביט,אלון
2026-01-12,07:36,טוסט עם אבוקדו,1,44,44,אשראי,דני
2026-01-12,10:12,בורקס פטריות,1,18,18,אשראי,נועה
2026-01-12,11:29,שקשוקה,1,48,48,אשראי,אלון
2026-01-12,12:08,קפה הפוך,1,16,16,ביט,אלון
2026-01-12,12:52,עוגת גבינה,2,32,64,ביט,אלון
2026-01-12,16:47,לימונענע,1,22,22,אשראי,אלון
2026-01-13,07:36,תה נענע טרי,1,16,16,מזומן,אלון
2026-01-13,08:03,קרואסון חמאה,1,18,18,אשראי,אלון
2026-01-13,08:24,בורקס גבינה,1,18,18,אשראי,אלון
2026-01-13,10:02,קפה הפוך,1,16,16,ביט,נועה
2026-01-13,11:52,ארוחת בוקר ישראלית,1,68,68,אשראי,דני
2026-01-13,12:29,אייס קפה,1,20,20,אשראי,דני
2026-01-13,14:38,קפה הפוך,1,16,16,אשראי,יוסי
2026-01-13,17:33,תה קמומיל,1,14,14,אשראי,אלון
2026-01-14,07:21,קרואסון חמאה,1,18,18,ביט,אלון
2026-01-14,07:22,מים מינרליים,1,10,10,אפל פיי,יוסי
2026-01-14,07:35,בייגל סלמון,2,54,108,מזומן,מיכל
2026-01-14,10:21,קרואסון שוקולד,1,20,20,מזומן,יוסי
2026-01-14,10:34,אייס לאטה,1,22,22,מזומן,יוסי
2026-01-14,11:30,קרואסון שקדים,1,22,22,אשראי,יוסי
2026-01-14,12:28,ארוחת בוקר ישראלית,1,68,68,ביט,נועה
2026-01-14,15:24,לאטה,1,18,18,ביט,דני
2026-01-14,15:51,קרואסון חמאה,2,18,36,מזומן,דני
2026-01-14,15:59,סלט קיסר,3,52,156,אפל פיי,נועה
2026-01-15,08:49,עוגת שוקולד,1,30,30,אשראי,מיכל
2026-01-15,09:08,אייס קפה,1,20,20,ביט,מיכל
2026-01-15,09:40,עוגת גבינה,1,32,32,מזומן,נועה
2026-01-15,11:04,סלט קיסר,1,52,52,ביט,אלון
2026-01-15,11:10,עוגת שוקולד,1,30,30,מזומן,דני
2026-01-15,12:33,קפה קר,1,18,18,אשראי,יוסי
2026-01-15,17:21,גרנולה עם יוגורט,1,38,38,אשראי,נועה
2026-01-16,07:00,סמוזי מנגו,1,28,28,ביט,דני
2026-01-16,08:40,אייס לאטה,1,22,22,מזומן,מיכל
2026-01-16,08:55,סנדוויץ׳ טונה,1,42,42,אשראי,דני
2026-01-16,08:59,סיני קינמון,2,24,48,אשראי,יוסי
2026-01-16,09:41,בורקס תפוא״ד,1,16,16,אשראי,אלון
2026-01-16,11:24,אייס לאטה,1,22,22,אשראי,אלון
2026-01-16,13:23,מים מינרליים,1,10,10,אפל פיי,אלון
2026-01-18,07:27,קפה הפוך,1,16,16,אפל פיי,יוסי
2026-01-18,09:36,לאטה,1,18,18,אשראי,נועה
2026-01-18,09:43,קרואסון שקדים,1,22,22,ביט,אלון
2026-01-18,10:24,טוסט עם אבוקדו,1,44,44,אשראי,נועה
2026-01-18,10:33,אספרסו,2,12,24,אפל פיי,דני
2026-01-18,10:54,מיץ תפוזים טרי,1,24,24,אשראי,דני
2026-01-18,17:11,עוגת שוקולד,1,30,30,אפל פיי,דני
2026-01-18,17:18,קפה הפוך,1,16,16,ביט,נועה
2026-01-19,07:45,קפוצ׳ינו,1,17,17,ביט,דני
2026-01-19,09:05,מאפין שוקולד צ׳יפס,1,22,22,אפל פיי,יוסי
2026-01-19,09:14,אייס לאטה,2,22,44,מזומן,דני
2026-01-19,09:23,עוגת שוקולד,1,30,30,ביט,דני
2026-01-19,09:57,עוגת שוקולד,1,30,30,אשראי,נועה
2026-01-19,11:10,קפה הפוך,1,16,16,אשראי,נועה
2026-01-19,11:15,אייס לאטה,1,22,22,אשראי,אלון
2026-01-19,15:43,רוגלך שוקולד,1,16,16,מזומן,נועה
2026-01-20,07:45,אספרסו כפול,1,14,14,מזומן,נועה
2026-01-20,09:26,קפוצ׳ינו,1,17,17,אשראי,אלון
2026-01-20,10:12,שקשוקה,1,48,48,אשראי,אלון
2026-01-20,10:15,סיני קינמון,1,24,24,ביט,מיכל
2026-01-20,11:17,בורקס פטריות,1,18,18,ביט,נועה
2026-01-20,11:56,קרואסון שוקולד,1,20,20,ביט,יוסי
2026-01-20,13:37,אייס קפה,2,20,40,ביט,אלון
2026-01-20,14:45,קפה הפוך,1,16,16,מזומן,יוסי
2026-01-21,07:05,מיץ תפוזים טרי,1,24,24,ביט,יוסי
2026-01-21,07:41,קרואסון חמאה,1,18,18,אשראי,דני
2026-01-21,09:05,מיץ תפוזים טרי,1,24,24,אשראי,אלון
2026-01-21,10:29,קפה הפוך,1,16,16,אשראי,נועה
2026-01-21,11:48,אייס קפה,1,20,20,אשראי,דני
2026-01-21,13:10,מאפין שוקולד צ׳יפס,1,22,22,מזומן,מיכל
2026-01-21,14:11,ארוחת בוקר ישראלית,1,68,68,מזומן,מיכל
2026-01-22,07:15,אייס לאטה,1,22,22,ביט,מיכל
2026-01-22,08:01,גרנולה עם יוגורט,1,38,38,אשראי,נועה
2026-01-22,08:03,גרנולה עם יוגורט,2,38,76,אפל פיי,נועה
2026-01-22,11:08,אספרסו,1,12,12,אפל פיי,מיכל
2026-01-22,11:32,בורקס פטריות,1,18,18,אשראי,דני
2026-01-22,12:39,טוסט עם אבוקדו,2,44,88,ביט,נועה
2026-01-22,12:43,סיני קינמון,2,24,48,ביט,דני
2026-01-22,16:42,קפה קר,1,18,18,אשראי,אלון
2026-01-23,07:34,ארוחת בוקר ישראלית,2,68,136,ביט,דני
2026-01-23,08:44,טירמיסו,1,34,34,ביט,יוסי
2026-01-23,09:53,לאטה,2,18,36,ביט,נועה
2026-01-23,10:06,עוגת שוקולד,1,30,30,אשראי,אלון
2026-01-23,10:20,אספרסו כפול,1,14,14,אשראי,דני
2026-01-23,10:28,קרואסון שוקולד,2,20,40,אשראי,דני
2026-01-23,11:19,לימונענע,1,22,22,מזומן,יוסי
2026-01-23,11:40,שוקו חם,1,18,18,אפל פיי,מיכל
2026-01-23,11:45,קפוצ׳ינו,2,17,34,אשראי,אלון
2026-01-23,12:05,מיץ תפוזים טרי,3,24,72,אשראי,דני
2026-01-23,12:31,גרנולה עם יוגורט,1,38,38,ביט,יוסי
2026-01-23,13:28,לימונענע,1,22,22,אפל פיי,דני
2026-01-25,07:17,לאטה,1,18,18,ביט,נועה
2026-01-25,08:13,ארוחת בוקר ישראלית,1,68,68,אשראי,נועה
2026-01-25,08:34,קרואסון שקדים,1,22,22,ביט,יוסי
2026-01-25,09:17,בורקס תפוא״ד,1,16,16,אשראי,מיכל
2026-01-25,09:21,לאטה,1,18,18,ביט,נועה
2026-01-25,10:49,גרנולה עם יוגורט,1,38,38,אפל פיי,דני
2026-01-25,11:40,קפוצ׳ינו,1,17,17,אשראי,נועה
2026-01-25,12:36,קפה הפוך,1,16,16,ביט,יוסי
2026-01-26,10:15,קפוצ׳ינו,1,17,17,ביט,דני
2026-01-26,10:27,שקשוקה,1,48,48,אפל פיי,יוסי
2026-01-26,11:20,קפה קר,1,18,18,ביט,יוסי
2026-01-27,09:15,אספרסו,2,12,24,אשראי,דני
2026-01-27,09:41,בייגל סלמון,1,54,54,מזומן,נועה
2026-01-27,11:02,סיני קינמון,1,24,24,אפל פיי,יוסי
2026-01-27,11:28,אייס קפה,2,20,40,אשראי,אלון
2026-01-27,13:34,קפוצ׳ינו,1,17,17,אשראי,מיכל
2026-01-28,07:43,בורקס פטריות,2,18,36,ביט,מיכל
2026-01-28,08:08,רוגלך שוקולד,1,16,16,אשראי,דני
2026-01-28,09:46,שקשוקה,1,48,48,מזומן,נועה
2026-01-28,10:05,תה קמומיל,1,14,14,אשראי,נועה
2026-01-28,10:55,סנדוויץ׳ טונה,2,42,84,מזומן,אלון
2026-01-28,11:02,קפה הפוך,1,16,16,אשראי,יוסי
2026-01-28,11:38,תה נענע טרי,1,16,16,אשראי,דני
2026-01-28,14:14,קפוצ׳ינו,2,17,34,ביט,אלון
2026-01-28,16:05,עוגת גבינה,1,32,32,מזומן,יוסי
2026-01-28,17:16,קפה קר,2,18,36,אפל פיי,נועה
2026-01-28,17:17,קרואסון שקדים,1,22,22,אשראי,דני
2026-01-29,07:16,קפוצ׳ינו,3,17,51,אשראי,יוסי
2026-01-29,07:45,מאפין אוכמניות,1,22,22,אפל פיי,מיכל
2026-01-29,08:24,אספרסו כפול,3,14,42,אשראי,אלון
2026-01-29,10:51,ארוחת בוקר זוגית,1,148,148,אשראי,יוסי
2026-01-29,12:06,רוגלך שוקולד,1,16,16,אשראי,יוסי
2026-01-29,16:49,שקשוקה,1,48,48,מזומן,יוסי
2026-01-30,08:06,סלט קיסר,1,52,52,אשראי,מיכל
2026-01-30,08:47,קפה הפוך,3,16,48,אשראי,נועה
2026-01-30,08:52,שוקו קר,1,20,20,ביט,דני
2026-01-30,11:44,לאטה,1,18,18,אשראי,אלון
2026-01-30,12:59,ארוחת בוקר ישראלית,1,68,68,אשראי,נועה
2026-01-30,13:33,לאטה,1,18,18,אשראי,נועה
2026-01-30,13:44,שוקו חם,1,18,18,מזומן,יוסי
2026-01-30,13:46,לאטה,1,18,18,ביט,אלון
