date,time,item,quantity,unit_price,total,payment_method,cashier
2025-12-09,09:41,אייס לאטה,1,22,22,אשראי,דני
2025-12-09,10:28,שקשוקה,2,48,96,אשראי,דני
2025-12-09,11:13,סלט יווני,1,48,48,מזומן,מיכל
2025-12-09,11:29,שוקו קר,1,20,20,אשראי,יוסי
2025-12-09,13:57,קרואסון חמאה,1,18,18,ביט,מיכל
2025-12-09,13:58,אייס קפה,1,20,20,ביט,מיכל
2025-12-09,17:51,אייס לאטה,2,22,44,ביט,דני
2025-12-10,08:20,סנדוויץ׳ חלומי,1,46,46,אשראי,מיכל
2025-12-10,09:32,קפוצ׳ינו,1,17,17,אפל פיי,מיכל
2025-12-10,09:41,תה ירוק,2,14,28,אשראי,נועה
2025-12-10,10:03,תה ירוק,1,14,14,ביט,דני
2025-12-10,10:42,שקשוקה,1,48,48,אשראי,דני
2025-12-10,12:21,בורקס גבינה,1,18,18,ביט,דני
2025-12-10,13:04,עוגת שוקולד,2,30,60,מזומן,אלון
2025-12-10,13:14,סמוזי מנגו,1,28,28,אפל פיי,נועה
2025-12-10,15:55,קפה הפוך,1,16,16,אשראי,יוסי
2025-12-11,07:50,סודה,1,12,12,אשראי,אלון
2025-12-11,08:17,סיני קינמון,2,24,48,אפל פיי,יוסי
2025-12-11,09:33,אייס לאטה,1,22,22,אשראי,נועה
2025-12-11,10:46,סנדוויץ׳ טונה,1,42,42,אשראי,נועה
2025-12-11,13:24,ארוחת בוקר ישראלית,1,68,68,ביט,מיכל
2025-12-11,17:20,קרואסון שוקולד,2,20,40,אפל פיי,נועה
2025-12-12,08:28,שוקו קר,1,20,20,אשראי,יוסי
2025-12-12,09:13,עוגת גבינה,1,32,32,ביט,דני
2025-12-12,10:07,אייס לאטה,1,22,22,ביט,נועה
2025-12-12,11:12,טירמיסו,1,34,34,אפל פיי,מיכל
2025-12-14,07:13,פוקי בול,1,58,58,ביט,דני
2025-12-14,07:46,טוסט עם אבוקדו,1,44,44,אפל פיי,אלון
2025-12-14,08:23,סנדוויץ׳ טונה,1,42,42,אשראי,דני
2025-12-14,09:03,עוגת גבינה,3,32,96,אשראי,דני
2025-12-14,09:06,טוסט עם אבוקדו,1,44,44,אשראי,נועה
2025-12-14,09:26,סודה,1,12,12,אשראי,מיכל
2025-12-14,09:33,מאצ׳ה לאטה,1,24,24,ביט,דני
2025-12-14,10:23,אייס לאטה,1,22,22,ביט,אלון
2025-12-14,11:45,סנדוויץ׳ טונה,1,42,42,אשראי,דני
2025-12-14,12:27,קרואסון חמאה,1,18,18,אפל פיי,נועה
2025-12-14,12:38,סלט יווני,2,48,96,אשראי,יוסי
2025-12-14,12:50,קרואסון שוקולד,1,20,20,אשראי,יוסי
2025-12-14,13:27,אייס לאטה,1,22,22,מזומן,מיכל
2025-12-14,13:29,שוקו קר,1,20,20,ביט,אלון
2025-12-15,07:41,קרואסון שקדים,3,22,66,אפל פיי,דני
2025-12-15,09:19,טירמיסו,2,34,68,ביט,אלון
2025-12-15,09:44,בייגל סלמון,1,54,54,ביט,מיכל
2025-12-15,10:04,סמוזי תות בננה,1,28,28,אשראי,מיכל
2025-12-15,11:38,שוקו קר,1,20,20,אשראי,אלון
2025-12-15,14:58,תה נענע טרי,1,16,16,אשראי,דני
2025-12-16,07:55,קפה הפוך,1,16,16,ביט,נועה
2025-12-16,08:31,אספרסו,1,12,12,מזומן,נועה
2025-12-16,08:36,קפה קר,1,18,18,אשראי,יוסי
2025-12-16,08:50,לאטה,1,18,18,אשראי,אלון
2025-12-16,08:51,תה קמומיל,1,14,14,אשראי,נועה
2025-12-16,09:02,סנדוויץ׳ חלומי,1,46,46,אשראי,אלון
2025-12-16,11:57,אספרסו כפול,1,14,14,אשראי,נועה
2025-12-16,13:21,קרואסון שוקולד,1,20,20,אפל פיי,דני
2025-12-17,08:22,מאפין שוקולד צ׳יפס,2,22,44,אשראי,מיכל
2025-12-17,08:40,שוקו קר,1,20,20,ביט,יוסי
2025-12-17,09:12,לאטה,1,18,18,ביט,דני
2025-12-17,09:31,קפוצ׳ינו,1,17,17,ביט,אלון
2025-12-17,09:35,פוקי בול,1,58,58,ביט,דני
2025-12-17,10:45,קרואסון שקדים,1,22,22,ביט,מיכל
2025-12-17,10:54,שוקו חם,1,18,18,אשראי,נועה
2025-12-17,14:46,קפה הפוך,2,16,32,אשראי,מיכל
2025-12-17,16:53,קרואסון שקדים,1,22,22,אשראי,מיכל
2025-12-18,07:15,קרואסון שוקולד,2,20,40,מזומן,מיכל
2025-12-18,07:58,קרואסון חמאה,1,18,18,אפל פיי,מיכל
2025-12-18,11:16,מאפין שוקולד צ׳יפס,1,22,22,אפל פיי,אלון
2025-12-18,11:35,רוגלך שוקולד,1,16,16,אפל פיי,יוסי
2025-12-18,12:49,סמוזי מנגו,1,28,28,אשראי,נועה
2025-12-19,08:52,טוסט עם אבוקדו,1,44,44,אפל פיי,מיכל
2025-12-19,09:25,סמוזי תות בננה,1,28,28,אשראי,יוסי
2025-12-19,09:51,טוסט עם אבוקדו,1,44,44,מזומן,מיכל
2025-12-19,10:40,שקשוקה,3,48,144,אשראי,נועה
2025-12-19,11:33,אייס לאטה,1,22,22,אשראי,יוסי
2025-12-19,13:02,קפה קר,1,18,18,אשראי,יוסי
2025-12-21,08:11,אספרסו,1,12,12,ביט,מיכל
2025-12-21,08:39,תה קמומיל,3,14,42,מזומן,דני
2025-12-21,08:43,רוגלך שוקולד,1,16,16,מזומן,מיכל
2025-12-21,08:58,טירמיסו,1,34,34,אשראי,דני
2025-12-21,09:15,קפוצ׳ינו,1,17,17,אשראי,אלון
2025-12-21,09:17,לאטה,1,18,18,מזומן,דני
2025-12-21,09:31,קרואסון שוקולד,1,20,20,מזומן,דני
2025-12-21,09:49,אייס לאטה,1,22,22,אפל פיי,דני
2025-12-21,10:52,פוקי בול,1,58,58,אשראי,יוסי
2025-12-21,11:01,קפה הפוך,3,16,48,ביט,מיכל
2025-12-21,11:01,קפה קר,1,18,18,אשראי,מיכל
2025-12-21,12:42,טירמיסו,2,34,68,אשראי,אלון
2025-12-21,14:05,סלט קיסר,2,52,104,ביט,מיכל
2025-12-21,17:45,קפה הפוך,1,16,16,מזומן,אלון
2025-12-22,07:14,שקשוקה,2,48,96,אשראי,נועה
2025-12-22,07:25,ארוחת בוקר זוגית,1,148,148,אשראי,מיכל
2025-12-22,07:29,טירמיסו,1,34,34,ביט,מיכל
2025-12-22,07:31,טוסט גבינה,1,38,38,אשראי,מיכל
2025-12-22,07:36,טוסט עם אבוקדו,1,44,44,ביט,דני
2025-12-22,07:39,סנדוויץ׳ חלומי,1,46,46,אשראי,אלון
2025-12-22,07:47,קרואסון שוקולד,1,20,20,אשראי,אלון
2025-12-22,07:51,סודה,1,12,12,אשראי,מיכל
2025-12-22,09:08,קרואסון חמאה,1,18,18,אפל פיי,מיכל
2025-12-22,09:22,אספרסו כפול,1,14,14,אפל פיי,דני
2025-12-22,10:28,בייגל סלמון,3,54,162,מזומן,יוסי
2025-12-22,12:25,טוסט עם אבוקדו,1,44,44,ביט,דני
2025-12-22,12:48,רוגלך שוקולד,1,16,16,אשראי,נועה
2025-12-22,14:29,קפה הפוך,1,16,16,אפל פיי,דני
2025-12-23,07:02,אייס קפה,1,20,20,אשראי,יוסי
2025-12-23,07:04,שוקו חם,1,18,18,ביט,נועה
2025-12-23,07:12,שוקו חם,2,18,36,ביט,מיכל
2025-12-23,08:33,סמוזי מנגו,1,28,28,אשראי,יוסי
2025-12-23,09:37,תה ירוק,1,14,14,ביט,יוסי
2025-12-23,09:40,טוסט גבינה,1,38,38,אפל פיי,יוסי
2025-12-23,10:18,קפוצ׳ינו,1,17,17,אשראי,אלון
2025-12-23,12:46,שוקו קר,1,20,20,ביט,מיכל
2025-12-24,07:15,קפוצ׳ינו,1,17,17,ביט,מיכל
2025-12-24,07:24,סמוזי מנגו,1,28,28,אפל פיי,אלון
2025-12-24,07:37,לימונענע,2,22,44,אשראי,אלון
2025-12-24,07:47,סמוזי מנגו,1,28,28,אשראי,מיכל
2025-12-24,07:55,קפוצ׳ינו,1,17,17,ביט,מיכל
2025-12-24,09:37,ארוחת בוקר ישראלית,1,68,68,ביט,מיכל
2025-12-24,09:48,לאטה,1,18,18,אשראי,דני
2025-12-24,10:48,סמוזי מנגו,1,28,28,ביט,נועה
2025-12-24,11:44,מאצ׳ה לאטה,1,24,24,אשראי,מיכל
2025-12-24,11:49,בורקס פטריות,1,18,18,אשראי,יוסי
2025-12-24,13:29,קרואסון שקדים,1,22,22,אפל פיי,נועה
2025-12-24,14:37,שוקו חם,1,18,18,אשראי,מיכל
2025-12-25,09:06,שוקו קר,1,20,20,אשראי,אלון
2025-12-25,09:58,אספרסו,1,12,12,אשראי,דני
2025-12-26,07:32,בורקס גבינה,2,18,36,אשראי,אלון
2025-12-26,08:07,עוגת גבינה,1,32,32,אשראי,דני
2025-12-26,08:09,אספרסו,1,12,12,ביט,נועה
2025-12-26,08:27,קפה הפוך,1,16,16,אשראי,מיכל
2025-12-26,08:45,קפוצ׳ינו,1,17,17,ביט,אלון
2025-12-26,09:21,לאטה,1,18,18,ביט,יוסי
2025-12-26,11:23,קפה הפוך,1,16,16,ביט,יוסי
2025-12-26,12:06,תה ירוק,1,14,14,אשראי,נועה
2025-12-26,12:07,טוסט גבינה,1,38,38,מזומן,אלון
2025-12-26,13:15,קרואסון חמאה,1,18,18,אשראי,יוסי
2025-12-26,13:47,קפוצ׳ינו,1,17,17,מזומן,אלון
2025-12-28,07:17,סנדוויץ׳ חלומי,1,46,46,ביט,נועה
2025-12-28,08:30,לימונענע,1,22,22,אשראי,דני
2025-12-28,08:56,לאטה,1,18,18,ביט,נועה
2025-12-28,10:42,טוסט עם אבוקדו,1,44,44,אשראי,דני
2025-12-28,11:19,סודה,1,12,12,אפל פיי,דני
2025-12-28,13:26,סנדוויץ׳ חלומי,1,46,46,ביט,נועה
2025-12-29,07:23,אייס לאטה,1,22,22,מזומן,אלון
2025-12-29,11:54,ארוחת בוקר זוגית,3,148,444,אשראי,אלון
2025-12-29,13:30,אספרסו,1,12,12,אפל פיי,נועה
2025-12-29,17:09,לאטה,1,18,18,ביט,אלון
2025-12-29,17:34,סיני קינמון,1,24,24,אשראי,אלון
2025-12-30,08:15,אספרסו כפול,2,14,28,אשראי,דני
2025-12-30,08:36,שוקו חם,1,18,18,אשראי,נועה
2025-12-30,10:47,טוסט עם אבוקדו,1,44,44,אפל פיי,מיכל
2025-12-30,10:53,קפה הפוך,1,16,16,אפל פיי,יוסי
2025-12-30,12:20,קרואסון חמאה,1,18,18,ביט,דני
2025-12-30,12:23,שוקו חם,2,18,36,ביט,יוסי
2025-12-30,13:18,שוקו חם,3,18,54,מזומן,אלון
2025-12-30,13:26,טוסט גבינה,3,38,114,ביט,מיכל
2025-12-30,16:55,גרנולה עם יוגורט,1,38,38,אשראי,נועה
2025-12-31,07:48,לאטה,1,18,18,ביט,דני
2025-12-31,07:55,עוגת שוקולד,1,30,30,אפל פיי,נועה
2025-12-31,08:29,טוסט גבינה,1,38,38,אפל פיי,נועה
2025-12-31,09:37,אייס קפה,1,20,20,אשראי,נועה
2025-12-31,11:08,קרואסון חמאה,2,18,36,ביט,יוסי
2025-12-31,12:14,ארוחת בוקר ישראלית,1,68,68,אפל פיי,יוסי
2025-12-31,12:49,שקשוקה,3,48,144,ביט,דני
2025-12-31,13:29,סיני קינמון,1,24,24,מזומן,נועה
2025-12-31,13:39,שקשוקה,2,48,96,אפל פיי,נועה
2025-12-31,14:06,קרואסון חמאה,1,18,18,ביט,יוסי
2025-12-31,14:52,אספרסו כפול,1,14,14,מזומן,אלון
2025-12-31,15:34,אספרסו,1,12,12,אשראי,אלון
